"strName","strCAS","CAS","httk","ToxCast","Tox21","NHANES","ExpoCast","Boiling Point Ave.exp","Boiling Point Ave.prd","Boiling Point Med.exp","Boiling Point Med.prd","Boiling Point Rng.exp","Boiling Point Rng.prd","MW","LogP Ave.exp","LogP Ave.prd","LogP Med.exp","LogP Med.prd","LogP Rng.exp","LogP Rng.prd"
"1,1,1,2-Tetrachloroethane","630206","630-20-6","","","1","","1","      131 (3)","      134 (5)","      131","      134","          131","          129 to 144","167.84",""," 2.52 (5)",""," 2.52","","2.08 to 2.93"
"1,1,2,2-Tetrachloroethane","79345","79-34-5","","","1","1","1","      145 (5)","      142 (5)","      146","      142","          142 to 147","          132 to 150","167.84","                              2.39 (1)","                              2.31 (5)","                              2.39","                              2.31","                                  2.39","                                  2.17 to 2.51"
"1,1,2-Trichloroethane","79005","79-00-5","","","1","1","1","      114 (4)","      117 (5)","      114","      117","          110 to 115","          112 to 128","133.4 ","                              1.89 (1)","                              1.89 (5)","                              1.89","                              1.89","                                  1.89","                                  1.68 to 2.01"
"1,1,2-Trichloroethane","79005","79-00-5","","","1","1","1","      114 (4)","      117 (5)","      114","      117","          110 to 115","          112 to 128","133.4 ","                              1.89 (1)","                              1.89 (5)","                              1.89","                              1.89","                                  1.89","                                  1.68 to 2.01"
"1,1,2-Trichloroethane","79005","79-00-5","","","1","1","1","      114 (4)","      117 (5)","      114","      117","          110 to 115","          112 to 128","133.4 ","                              1.89 (1)","                              1.89 (5)","                              1.89","                              1.89","                                  1.89","                                  1.68 to 2.01"
"1,1,2-Trichloroethane","79005","79-00-5","","","1","1","1","      114 (4)","      117 (5)","      114","      117","          110 to 115","          112 to 128","133.4 ","                              1.89 (1)","                              1.89 (5)","                              1.89","                              1.89","                                  1.89","                                  1.68 to 2.01"
"1,1,2-Trichloropropane","598776","598-77-6","","","1","","1","      132 (1)","      128 (4)","      132","      128","          132","          124 to 134","147.42",""," 2.29 (5)",""," 2.29","","2.03 to 2.48"
"1,1-Dichloroethylene","75354","75-35-4","","","1","1","1","      31.3 (4)","      35.8 (5)","      31.7","      35.8","          30.0 to 32.0","          24.4 to 44.4","96.94 ","                              2.13 (1)","                              2.06 (5)","                              2.13","                              2.06","                                  2.13","                                  1.77 to 2.18"
"1,1-Dichloroethylene","75354","75-35-4","","","1","1","1","      31.3 (4)","      35.8 (5)","      31.7","      35.8","          30.0 to 32.0","          24.4 to 44.4","96.94 ","                              2.13 (1)","                              2.06 (5)","                              2.13","                              2.06","                                  2.13","                                  1.77 to 2.18"
"1,2,3-Trichloropropane","96184","96-18-4","","1","1","","1","      157 (5)","      153 (5)","      156","      153","          156 to 158","          144 to 162","147.42","                              2.27 (1)","                              2.23 (5)","                              2.27","                              2.23","                                  2.27","                                  1.96 to 2.50"
"1,2,4-Tribromobenzene","615543","615-54-3","","","1","","1","      275 (3)","      271 (4)","      275","      271","          274 to 276","          264 to 277","314.80",""," 4.36 (5)",""," 4.36","","3.98 to 4.66"
"1,2,4-Tribromobenzene","615543","615-54-3","","","1","","1","      275 (3)","      271 (4)","      275","      271","          274 to 276","          264 to 277","314.80",""," 4.36 (5)",""," 4.36","","3.98 to 4.66"
"1,2,4-Trichlorobenzene","120821","120-82-1","","1","1","1","1","      213 (6)","      213 (5)","      213","      213","          213 to 214","          207 to 226","181.44","                              4.02 (1)","                              3.91 (5)","                              4.02","                              3.91","                                  4.02","                                  3.82 to 3.95"
"1,2-Dibromoethane","106934","106-93-4","","","1","","1","      132 (4)","      129 (5)","      132","      129","          131 to 132","          124 to 132","187.86","                              1.96 (1)","                              2.07 (5)","                              1.96","                              2.07","                                  1.96","                                  1.98 to 2.17"
"1,2-Dibromoethane","106934","106-93-4","","","1","","1","      132 (4)","      129 (5)","      132","      129","          131 to 132","          124 to 132","187.86","                              1.96 (1)","                              2.07 (5)","                              1.96","                              2.07","                                  1.96","                                  1.98 to 2.17"
"1,2-Dichloropropane","78875","78-87-5","","","1","1","1","      96.0 (4)","      98.8 (5)","      96.7","      98.8","          95.0 to 97.0","          94.0 to 105","112.98","                              1.98 (1)","                              2.00 (5)","                              1.98","                              2.00","                                  1.98","                                  1.76 to 2.25"
