Hot Spots Unit Risk and Cancer Potency Values,,,,,,,,
Chemical,,CAS,Source,"Unit Risk
(μg/m3) -1","Slope Factor
(mg/kg-day) -1","US EPA
ClassC","IARC
ClassC",
Acetaldehyde,,75-07-0,TAC,2.7 E-6,1.0 E-2,B2,2B,
Acetamide,,60-35-5,RCHAS-E,2.0 E-5,7.0 E-2,NC,2B,
Acrylamide,,79-06-1,IRIS,1.3 E-3,4.5 E+0,B2,2A,
Acrylonitrile,,107-13-1,RCHAS-S,2.9 E-4,1 .0 E+0,B1,2A,
Allyl chloride,,107-05-1,RCHAS-S,6.0 E-6,2.1 E-2,C,3,
2-Aminoanthraquinone,,117-79-3,RCHAS-E,9.4 E-6,3.3 E-2,NC,3,
Aniline,,62-53-3,IRIS,1.6 E-6,5.7 E-3,B2,3,
Arsenic (inorganic),(inhalation),7440-38-2,TAC,3.3 E-3,1.2 E+1,A,1,
,(oral),,IRIS,,1.5 E+0,,,
Asbestos,,1332-21-4,TAC,6.3 E-2,2.2 E+2,A,1,
,,,,1.9 E-4 #,,,,
Benz[a]anthraceneBaP,(inhalation),56-55-3,TAC,1.1 E-4,3.9 E-1,B2,2A,
,(oral),,,,1.2 E+0,,,
Benzene,,71-43-2,TAC,2.9 E-5,1.0 E-1,A,1,
Benzidine,,92-87-5,RCHAS-S,1.4 E-1,5.0 E+2,A,1,
Benzo[a]pyrene,(inhalation),50-32-8,TAC,1.1 E-3,3.9 E+0,B2,2A,
,(oral),,,,1.2 E+1,,,
Benzo[b]fluoranthreneBaP,(inhalation),205-99-2,TAC,1.1 E-4,3.9 E-1,B2,2B,
,(oral),,,,1.2 E+0,,,
Benzo[j]fluoranthreneBaP,(inhalation),205-82-3,TAC,1.1 E-4,3.9 E-1,NC,2B,
,(oral),,,,1.2 E+0,,,
Benzo[k]fluoranthreneBaP,(inhalation),207-08-9,TAC,1.1 E-4,3.9 E-1,B2,2B,
,(oral),,,,1.2 E+0,,,
Benzyl chloride,,100-44-7,IRIS,4.9 E-5,1.7 E-1,B2,2B,
Beryllium,,7440-41-7,IRIS,2.4 E-3,8.4 E+0,B2,1,
Bis(2-chloroethyl) ether,,111-44-4,RCHAS-S,7.1 E-4,2.5 E+0,B2,3,
Bis(chloromethyl)ether,,542-88-1,RCHAS-S,1.3 E-2,4.6 E+1,A,1,
"1,3-Butadiene",,106-99-0,TAC,1.7 E-4,6.0 E-1,B2,2A,
