Order,SUBSTANCE.NAME,CAS_trimmed,toxcast,tox21,expocast,nhanes
1,"DDT, P,P'-",50-29-3,1,1,1,1
2,DIELDRIN,60-57-1,1,1,1,1
3,ALDRIN,309-00-2,1,1,1,1
4,HEPTACHLOR,76-44-8,1,1,1,1
5,"HEXACHLOROCYCLOHEXANE, GAMMA-",58-89-9,1,1,1,1
6,ENDRIN,72-20-8,1,1,1,1
7,BENZO(B)FLUORANTHENE,205-99-2,1,1,1,0
8,BENZO(A)ANTHRACENE,56-55-3,1,1,1,0
9,NAPHTHALENE,91-20-3,1,1,1,0
10,FLUORANTHENE,206-44-0,1,1,1,0
11,TRIFLURALIN,1582-09-8,1,1,1,0
12,ACENAPHTHENE,83-32-9,1,1,1,0
13,"DDD, P,P'-",72-54-8,1,1,1,0
14,BENZIDINE,92-87-5,1,1,1,0
15,DISULFOTON,298-04-4,1,1,1,0
16,DIAZINON,333-41-5,1,1,1,0
17,ENDOSULFAN,115-29-7,1,1,1,0
18,HEPTACHLOR EPOXIDE,1024-57-3,1,1,1,0
19,PENTACHLOROPHENOL,87-86-5,1,1,1,0
20,METHOXYCHLOR,72-43-5,1,1,1,0
21,DI-N-BUTYL PHTHALATE,84-74-2,1,1,1,0
22,CHLORPYRIFOS,2921-88-2,1,1,1,0
23,DI(2-ETHYLHEXYL)PHTHALATE,117-81-7,1,1,1,0
24,"2,4,6-TRICHLOROPHENOL",88-06-2,1,1,1,0
25,"2,4-DINITROPHENOL",51-28-5,1,1,1,0
26,"2,4-DINITROTOLUENE",121-14-2,1,1,1,0
27,ETHION,563-12-2,1,1,1,0
28,DIMETHYLARSINIC ACID,75-60-5,1,1,1,0
29,AZINPHOS-METHYL,86-50-0,1,1,1,0
30,"2,4,5-TRICHLOROPHENOL",95-95-4,1,1,1,0
31,DICOFOL,115-32-2,1,1,1,0
32,PARATHION,56-38-2,1,1,1,0
33,"CRESOL, PARA-",106-44-5,1,1,1,0
34,PHENOL,108-95-2,1,1,1,0
35,MERCURIC CHLORIDE,7487-94-7,1,1,1,0
36,"DDT, O,P'-",789-02-6,1,1,1,1
37,"4,6-DINITRO-O-CRESOL",534-52-1,1,1,1,0
38,"1,2,3-TRICHLOROBENZENE",87-61-6,1,1,1,0
39,LEAD,7439-92-1,0,0,0,0
40,CADMIUM,7440-43-9,0,0,0,0
41,"CHROMIUM, HEXAVALENT",18540-29-9,0,0,0,0
42,COBALT,7440-48-4,0,0,0,0
43,NICKEL,7440-02-0,0,0,0,0
44,ZINC,7440-66-6,0,0,0,0
45,METHYLMERCURY,22967-92-6,0,0,0,0
46,"2,3',4,4',5-Pentachlorobiphenyl",31508-00-6,0,0,0,1
47,"HEXACHLOROCYCLOHEXANE, BETA-",319-85-7,1,1,1,1
48,"2,3,7,8-TETRACHLORODIBENZO-P-DIOXIN",1746-01-6,0,1,1,1
49,HEXACHLOROBENZENE,118-74-1,0,1,1,1
50,"HEXACHLOROCYCLOHEXANE, TECHNICAL GRADE",608-73-1,0,1,1,1
51,"CHLORDANE, TECHNICAL",12789-03-6,0,1,1,1
52,POLYCHLORINATED BIPHENYLS,1336-36-3,0,0,1,1
53,"1,2,3,4,6,7,8,9-OCTACHLORODIBENZOFURAN",39001-02-0,0,0,0,1
54,"2,3,4,7,8-PENTACHLORODIBENZOFURAN",57117-31-4,0,0,0,1
55,"2,3,7,8-TETRACHLORODIBENZOFURAN",51207-31-9,0,0,0,1
56,"1,2,3,4,6,7,8-HEPTACHLORODIBENZOFURAN",67562-39-4,0,0,0,1
57,"2,4-D ACID",94-75-7,1,1,1,0
58,DIURON,330-54-1,1,1,1,0
59,PYRENE,129-00-0,1,1,1,0
60,METOLACHLOR,51218-45-2,1,1,1,0
61,simazine,122-34-9,1,1,1,0
62,Fluorene,86-73-7,1,1,1,0
63,Biphenyl,92-52-4,1,1,1,0
64,Anthracene,120-12-7,1,1,1,0
65,Atrazine,1912-24-9,1,1,1,0
66,Propazine,139-40-2,1,1,1,0
67,Prometryn,7287-19-6,1,1,1,0
68,Prometon,1610-18-0,1,1,1,0
69,Terbacil,5902-51-2,1,1,1,0
70,Oxyfluorfen,42874-03-3,1,1,1,0
71,Molinate,2212-67-1,1,1,1,0
72,"S-Ethyl-N,N-Dipropylthiocarbamate",759-94-4,1,1,1,0
73,Cycloate,1134-23-2,1,1,1,0
74,Bromacil,314-40-9,1,1,1,0
75,DICAMBA,1918-00-9,1,1,1,0
76,PICLORAM,1918-02-1,1,1,1,0
77,PENDIMENTHALIN,40487-42-1,1,1,1,0
78,ISOXAFLUTOLE,141112-29-0,1,1,1,0
79,ACETOCHLOR,34256-82-1,1,1,1,0
80,IMAZAPYR,81334-34-1,1,1,1,0
81,IMAZAPIC,104098-48-8,1,1,1,0
82,AMETRYN,834-12-8,1,1,1,0
83,HEXAZINONE,51235-04-2,1,1,1,0
84,METSULFURON METHYL,74223-64-6,0,1,1,0
85,Acenaphthylene 2000 μg/mL,208-96-8,1,1,1,0
86,Metribuzin,21087-64-9,1,1,1,0
87,HALOSULFURON METHYL,100784-20-1,0,0,1,0
88,BENZENE,71-43-2,0,1,1,0
89,BENZO(A)PYRENE,50-32-8,0,1,1,0
90,"DIBENZO(A,H)ANTHRACENE",53-70-3,0,1,1,0
91,BENZO(K)FLUORANTHENE,207-08-9,0,1,1,0
92,"XYLENES, TOTAL",1330-20-7,0,1,1,0
93,TOLUENE,108-88-3,0,1,1,0
94,ETHYLBENZENE,100-41-4,0,1,1,0
95,CHRYSENE,218-01-9,0,1,1,0
96,2-METHYLNAPHTHALENE,91-57-6,0,1,1,0
97,PHENANTHRENE,85-01-8,1,1,1,0
98,STYRENE,100-42-5,0,1,1,0
99,1-Methylnaphthalene,90-12-0,1,1,1,0
100,"1,2,4-Trimethylbenzene",95-63-6,1,1,1,0
101,Isopropalin,33820-53-0,1,1,1,0
102,Pebulat,1114-71-2,0,1,1,0
103,TERBUTRYN,886-50-0,0,1,1,0
104,HEDONAL (Carbamate),93-65-2,0,1,1,0
105,a-Methylstyrene,98-83-9,0,1,1,0
106,Pentane,109-66-0,0,1,1,0
107,"m-Xylene (Benzene, 1,3-dimethyl-)",108-38-3,0,1,1,0
108,Cyclohexane 5.4 wt. %,110-82-7,0,1,1,0
109,3-Methylcholanthrene,56-49-5,0,1,1,0
110,Benzo[ghi]perylene 200 μg/mL,191-24-2,0,1,1,0
111,GLUFOSINATE,77182-82-2,0,0,1,0
112,"2,2',4,4',5,5'-Hexachlorobiphenyl",35065-27-1,0,1,1,1
113,Pentadecane,629-62-9,1,1,1,0
114,Decane,124-18-5,1,1,1,0
115,p-Cymene,99-87-6,1,1,1,0
116,"1,3,5-Trimethylbenzene",108-67-8,1,1,1,0
117,Hexadecane,544-76-3,1,1,1,0
118,Undecane,1120-21-4,1,1,1,0
119,"1,2,4,5-Tetramethylbenzene",95-93-2,0,1,1,0
120,Dibenzothiophene,132-65-0,0,1,1,0
121,Indene,95-13-6,0,1,1,0
122,Propylbenzene,103-65-1,1,1,1,0
123,Cyclopentane,287-92-3,0,1,1,0
124,"Isoprene (2-Methyl-1,3-butadiene)",78-79-5,0,1,1,0
125,Methylcyclopentane 3.269 wt. %,96-37-7,0,1,1,0
126,"S,S,S-TRIBUTYL PHOSPHOROTRITHIOATE",78-48-8,1,1,1,0
127,"1,4-DICHLOROBENZENE",106-46-7,1,1,1,0
128,PHORATE,298-02-2,1,1,1,0
129,DIBENZOFURAN,132-64-9,1,1,1,0
130,"CRESOL, ORTHO-",95-48-7,1,1,1,0
131,ETHOPROP,13194-48-4,1,1,1,0
132,N-NITROSODIPHENYLAMINE,86-30-6,1,1,1,0
133,DIMETHOATE,60-51-5,1,1,1,0
134,BUTYLATE,2008-41-5,1,1,1,0
135,"2,6-DINITROTOLUENE",606-20-2,1,1,1,0
136,BIS(2-ETHYLHEXYL)ADIPATE,103-23-1,1,1,1,0
137,CARBARYL,63-25-2,1,1,1,0
138,permethrin,52645-53-1,1,1,1,0
139,iprodione,36734-19-7,1,1,1,0
140,carbendazim,10605-21-7,1,1,1,0
141,benomyl,17804-35-2,1,1,1,0
142,prochloraz,67747-09-5,1,1,1,0
143,vinclozolin,50471-44-8,1,1,1,0
144,fenitrothion,122-14-5,1,1,1,0
145,fenvalerate,51630-58-1,0,1,1,0
146,Ethoxyquin,91-53-2,1,1,1,0
147,Myclobutanil,88671-89-0,1,1,1,0
148,Tebuconazole,107534-96-3,1,1,1,0
149,Rotenone,83-79-4,1,1,1,0
150,Aldicarb,116-06-3,1,1,1,0
151,Thiabendazole,148-79-8,1,1,1,0
152,2-Phenylphenol,90-43-7,1,1,1,0
153,Reserpine,50-55-5,1,1,1,0
154,Linuron,330-55-2,1,1,1,0
155,Fenarimol,60168-88-9,1,1,1,0
156,Bisphenol A,80-05-7,1,1,1,0
157,Diethylstilbestrol (DES),56-53-1,1,1,1,0
158,Metalaxyl,57837-19-1,1,1,1,0
159,Abamectin,71751-41-2,1,1,1,0
160,Pyriproxyfen,95737-68-1,1,1,1,0
161,Propyzamide,23950-58-5,1,1,1,0
162,Phosmet,732-11-6,1,1,1,0
163,Pentachloronitrobenzene,82-68-8,1,1,1,0
164,Norflurazon,27314-13-2,1,1,1,0
165,MGK-264,113-48-4,1,1,1,0
166,Malathion,121-75-5,1,1,1,0
167,Chlorthal-dimethyl,1861-32-1,1,1,1,0
168,Bifenthrin,82657-04-3,1,1,1,0
169,6-Propyl-2-thiouracil,51-52-5,1,1,1,0
170,"INDENO(1,2,3-CD)PYRENE",193-39-5,0,0,0,0
171,"2,2',3,4,4',5,5'-Heptachlorobiphenyl",35065-29-3,0,0,0,1
172,"2,2',3,4,4',5'-Hexachlorobiphenyl",35065-28-2,0,0,0,1
173,"2,2',4,5,5'-Pentachlorobiphenyl",37680-73-2,0,0,0,1
174,"2,2',5,5'-Tetrachlorobiphenyl",35693-99-3,0,0,0,1
175,"3,3',4-Trichlorobiphenyl",37680-69-6,0,0,0,0
176,"2,4,4'-Trichlorobiphenyl",7012-37-5,0,0,0,1
177,"2,3,3'-Trichlorobiphenyl",38444-84-7,0,0,0,0
178,"2,4'-Dichlorobiphenyl",34883-43-7,0,0,0,0
179,Phenanthrene,85-01-08,0,0,0,0
180,ORGANOSILICONE,67763-03-5,0,0,0,0
181,OXITENO (EMULSIFYING AGENT),25322-68-3,0,0,0,0
182,PYRASOSULFURON ETHYL,93697-74-6,0,0,0,0
183,TRIFLOXYSULFURON,145099-21-4,0,0,0,0
184,GLYPHOSATE,1071-83-6,0,0,0,0
185,INDAZIFLAM,950782-86-2,0,0,0,0
186,Allylbenzene,300-57-2,0,0,0,0
187,Cyclopentene,142-29-0,0,0,0,0
188,"cis-1,3-Pentadiene",1574-41-0,0,0,0,0
189,"Naphtha (petroleum), hydrotreated heavy",64742-48-9,0,0,0,0
190,"Naphthalene, methyl-",1321-94-4,0,0,0,0
191,"4,7-Methano-1H-indene, octahydro-",6004-38-2,0,0,0,0
192,"2-Methylbutane (Butane, 2-methyl-)",78-78-4,0,0,0,0
193,"cis,trans,cis-1,2,4-Trimethylcyclopentane 1.673 wt. %",16883-48-0,0,0,0,0
194,"cis,cis,cis-1,3,5-Trimethylcyclohexane 3.558 wt. %",1795-27-3,0,0,0,0
195,"cis,trans,trans-1,2,4-Trimethylcyclohexane 3.634 wt. %",1678-80-4,0,0,0,0
196,"cis,trans,cis-1,2,4-Trimethylcyclohexane 3.541 wt. %",7667-59-6,0,0,0,0
197,"1,1,4-Trimethylcyclohexane 3.68 wt. %",7094-27-1,0,0,0,0
198,"1,1,2-Trimethylcyclohexane 3.371 wt. %",7094-26-0,0,0,0,0
199,Propylcyclopentane 3.677 wt. %,2040-96-2,0,0,0,0
200,trans-1-Methyl-2-propylcyclohexane 3.289 wt. %,42806-77-9,0,0,0,0
201,t-1-Methyl-2-(4MP)cyclopentane 3.795 wt. %,66553-50-2,0,0,0,0
202,Methylcyclohexane 5.711 wt. %,108-87-2,0,0,0,0
203,Isopropylcyclopentane 3.511 wt. %,3875-51-2,0,0,0,0
204,Isopropylcyclohexane 5.77 wt. %,696-29-7,0,0,0,0
205,Isobutylcyclopentane 3.727 wt. %,3788-32-7,0,0,0,0
206,Isobutylcyclohexane 5.639 wt. %,1678-98-4,0,0,0,0
207,1-Ethyl-1-methylcyclopentane 1.076 wt. %,16747-50-5,0,0,0,0
208,Ethylcyclopentane 3.575 wt. %,1640-89-7,0,0,0,0
209,"trans-1,3-Dimethylcyclopentane 2.749 wt. %",1759-58-6,0,0,0,0
210,"cis-1,3-Dimethylcyclopentane .604 wt. %",2532-58-3,0,0,0,0
211,"trans-1,2-Dimethylcyclopentane 1.468 wt. %",822-50-4,0,0,0,0
212,"1,1-Dimethylcyclopentane 3.483 wt. %",1638-26-2,0,0,0,0
213,"trans-1,4-Dimethylcyclohexane 3.557 wt. %",2207-04-7,0,0,0,0
214,"trans-1,2-Dimethylcyclohexane 1.669 wt. %",6876-23-9,0,0,0,0
215,"cis-1,2-Dimethylcyclohexane 3.725 wt. %",2207-01-4,0,0,0,0
216,n-Butylcyclopentane 3.724 wt. %,2040-95-1,0,0,0,0
217,"Dibenz[a,j]acridine",224-42-0,0,0,0,0
218,Benzo[j]fluoranthene,205-82-3,0,0,0,0
219,"Dibenz[a,h]acridine",226-36-8,0,0,0,0
220,"Dibenzo[a,h]pyrene",192-51-8,0,0,0,0
221,"Dibenzo[a,e]pyrene",192-65-4,0,0,0,0
222,CHLOROFORM,67-66-3,0,1,1,0
223,TRICHLOROETHYLENE,79-01-6,0,1,1,0
224,HEXACHLOROBUTADIENE,87-68-3,0,1,1,0
225,"DDE, P,P'-",72-55-9,1,1,1,0
226,CHLORDANE,57-74-9,1,1,1,0
227,ACROLEIN,107-02-8,0,1,1,0
228,TOXAPHENE,8001-35-2,0,1,1,0
229,TETRACHLOROETHYLENE,127-18-4,0,1,1,0
230,"1,2-DIBROMOETHANE",106-93-4,0,1,1,0
231,"1,2-DIBROMO-3-CHLOROPROPANE",96-12-8,0,1,1,0
232,CARBON TETRACHLORIDE,56-23-5,0,1,1,0
233,AROCLOR 1016,12674-11-2,0,1,1,0
234,"3,3'-DICHLOROBENZIDINE",91-94-1,0,1,1,0
235,PENTACHLOROBENZENE,608-93-5,0,1,1,0
236,"1,1-DICHLOROETHENE",75-35-4,0,1,1,0
237,BIS(2-CHLOROETHYL) ETHER,111-44-4,1,1,1,0
238,METHYLENE CHLORIDE,75-09-2,0,1,1,0
239,"4,4'-METHYLENEBIS(2-CHLOROANILINE)",101-14-4,0,1,1,0
240,"1,2-DICHLOROETHANE",107-06-2,0,1,1,0
241,"HEXACHLOROCYCLOHEXANE, ALPHA-",319-84-6,0,1,1,0
242,"1,1,1-TRICHLOROETHANE",71-55-6,0,1,1,0
243,N-NITROSODI-N-PROPYLAMINE,621-64-7,1,1,1,0
244,CHLOROBENZENE,108-90-7,0,1,1,0
245,CHLORDECONE,143-50-0,1,1,1,0
246,"1,1,2,2-TETRACHLOROETHANE",79-34-5,0,1,1,0
247,"1,1-DICHLOROETHANE",75-34-3,0,1,1,0
248,NALED,300-76-5,1,1,1,0
249,"1,1,2-TRICHLOROETHANE",79-00-5,0,1,1,0
250,HEXACHLOROCYCLOPENTADIENE,77-47-4,1,1,1,0
251,"1,2-DIPHENYLHYDRAZINE",122-66-7,1,1,1,0
252,"1,2-DICHLOROBENZENE",95-50-1,1,1,1,0
253,"1,2-DICHLOROETHENE, TRANS-",156-60-5,0,1,1,0
254,CARBON DISULFIDE,75-15-0,0,1,1,0
255,"2,4-DIMETHYLPHENOL",105-67-9,1,1,1,0
256,ACETONE,67-64-1,0,1,1,0
257,HEXACHLOROETHANE,67-72-1,0,1,1,0
258,BUTYL BENZYL PHTHALATE,85-68-7,1,1,1,0
259,DICHLORVOS,62-73-7,1,1,1,0
260,N-NITROSODIMETHYLAMINE,62-75-9,1,1,1,0
261,"1,2,4-TRICHLOROBENZENE",120-82-1,1,1,1,0
262,BROMOFORM,75-25-2,0,1,1,0
263,"1,3-DICHLOROBENZENE",541-73-1,1,1,1,0
264,"2,4-DICHLOROPHENOL",120-83-2,1,1,1,0
265,"1,4-DIOXANE",123-91-1,0,1,1,0
266,2-BUTANONE,78-93-3,0,1,1,0
267,"1,2-DICHLOROETHYLENE",540-59-0,0,1,1,0
268,4-AMINOBIPHENYL,92-67-1,0,1,1,0
269,BIS(CHLOROMETHYL) ETHER,542-88-1,0,1,1,0
270,DIBROMOCHLOROMETHANE,124-48-1,0,1,1,0
271,CRESOLS,1319-77-3,0,1,1,0
272,2-CHLOROPHENOL,95-57-8,1,1,1,0
273,DIMETHYL FORMAMIDE,68-12-2,1,1,1,0
274,DIMETHYLANILINE,121-69-7,1,1,1,0
275,PENTAERYTHRITOL TETRANITRATE,78-11-5,0,1,1,0
276,ACRYLONITRILE,107-13-1,0,1,1,0
277,"1,2-DICHLOROETHENE, CIS-",156-59-2,0,1,1,0
278,CARBAZOLE,86-74-8,0,1,1,0
279,"1,2,3-TRICHLOROPROPANE",96-18-4,1,1,1,0
280,METHYL ISOBUTYL KETONE,108-10-1,0,1,1,0
281,b-cypermethrin,52315-07-8,1,1,1,0
282,b-cyfluthrin,68359-37-5,1,1,1,0
283,methomyl,16752-77-5,1,1,1,0
284,propiconazole,60207-90-1,1,1,1,0
285,deltamethrin,52918-63-5,0,1,1,0
286,Azobenzene,103-33-3,1,1,1,0
287,Tris(2-chloroethyl) phosphate,115-96-8,1,1,1,0
288,Acrylamide,79-06-1,1,1,1,0
289,2-Methyoxyethanol,109-86-4,1,1,1,0
290,Captan,133-06-2,1,1,1,0
291,Benzoic acid,65-85-0,1,1,1,0
292,Adipic acid,124-04-9,1,1,1,0
293,Bis(tributyltin)oxide,56-35-9,0,1,1,0
294,Hexachlorophene,70-30-4,0,1,1,0
295,17beta-Estradiol,50-28-2,1,1,1,0
296,Isophorone,78-59-1,1,1,1,0
297,Propargite,2312-35-8,1,1,1,0
298,Ethylene thiourea,96-45-7,1,1,1,0
299,Chlorothalonil,1897-45-6,1,1,1,0
300,Ammonium perchlorate,7790-98-9,0,1,1,0
301,HYDRAZINE,302-01-2,0,0,1,0
302,RDX (Cyclonite),121-82-4,0,0,1,0
303,NITRATE,14797-55-8,0,0,1,0
304,FORMALDEHYDE,50-00-0,0,0,1,0
305,ARSINE,7784-42-1,0,0,1,0
306,AROCLOR 1260,11096-82-5,0,1,1,0
307,"ENDOSULFAN, ALPHA",959-98-8,0,1,1,0
308,ENDOSULFAN SULFATE,1031-07-8,0,1,1,0
309,"DDD, O,P'-",53-19-0,0,1,1,0
310,P-XYLENE,106-42-3,0,1,1,0
311,ARSENIC TRIOXIDE,1327-53-3,0,1,1,0
312,STROBANE,8001-50-1,0,1,1,0
313,CARBOPHENOTHION,786-19-6,0,1,1,0
314,4-NITROPHENOL,100-02-7,1,1,1,0
315,2-CHLOROANILINE,95-51-2,0,1,1,0
316,tetramethrin,7696-12-0,1,1,1,0
317,"ICI 182,780",129453-61-8,1,1,1,0
318,norethindrone,68-22-4,1,1,1,0
319,levonorgestrel,797-63-7,1,1,1,0
320,17b-trenbolone,10161-33-8,1,1,1,0
321,4-androstenedione,63-05-8,1,1,1,0
322,cyproterone acetate,427-51-0,1,1,1,0
323,nilutamide,63612-50-0,1,1,1,0
324,mifepristone,84371-65-3,1,1,1,0
325,resveratrol,501-36-0,0,1,1,0
326,finasteride,98319-26-7,0,1,1,0
327,norethynodrel,68-23-5,0,1,1,0
328,medroxyprogesterone acetate,71-58-9,0,1,1,0
329,19-nortestosterone,434-22-0,0,1,1,0
330,fluoxymestrone,76-43-7,0,1,1,0
331,norethindrone acetate,51-98-9,0,1,1,0
332,testosterone,58-22-0,0,1,1,0
333,zearalenone,17924-92-4,0,1,1,0
334,bicalutamide,90357-06-5,0,1,1,0
335,6-Thioguanine (6-TG),154-42-7,1,1,1,0
336,Pyrimethamine,58-14-0,1,1,1,0
337,2-Octyl-3-isothiazolone,26530-20-1,1,1,1,0
338,8-Hydroxyquinoline,148-24-3,1,1,1,0
339,Dazomet,533-74-4,1,1,1,0
340,Hexamethyl-p-rosaniline chloride,548-62-9,1,1,1,0
