"","X","Order","SUBSTANCE.NAME","CAS_trimmed","toxcast","tox21","expocast","nhanes","ToxCast","Tox21","ExpoCast","NHANES","No.ToxData","Min.AC50","Max.AC50","Expo.Total_median","Expo.Total_95perc","httk","Css.med_medRTK.plasma.uM","Css.med_95RTK.plasma.uM","Css.95perc_medRTK.plasma.uM","Css.95perc_95RTK.plasma.uM"
"1",1,1,"DDT, P,P'-","50-29-3",1,1,1,1,1,1,1,1,139,0.000479,253,0.000000122,0.00000735,"1","0.200017387245762","1.07691697902402","0.206425193776432","1.48285116721946"
"2",2,2,"DIELDRIN","60-57-1",1,1,1,1,1,1,1,1,60,0.0406,169,0.000000129,0.00000448,"1","156.542297071958","1604.99394016363","158.506635710399","1271.80917636172"
"3",3,3,"ALDRIN","309-00-2",1,1,1,1,1,1,1,1,122,0.912,253,0.000000127,0.00000643,"1","103.138621428847","523.092312732718","101.372740003549","455.707006664448"
"4",4,4,"HEPTACHLOR","76-44-8",1,1,1,1,1,1,1,1,128,5.05,164,0.00000012,0.00000641,"1","0.204945699561454","0.590985153988411","0.195509947121086","0.598635003123302"
"5",5,5,"HEXACHLOROCYCLOHEXANE, GAMMA-","58-89-9",1,1,1,1,1,1,1,1,27,5.68,116,0.00000152,0.000105,"1","6.02262213525906","81.5000916895221","6.39668914292092","87.365653757332"
"6",6,6,"ENDRIN","72-20-8",1,1,1,1,1,1,1,1,41,0.219,64.9,0.000000129,0.00000713,"1","250.384286050006","2337.83329922967","268.670559386418","2711.18286874869"
"7",7,7,"BENZO(B)FLUORANTHENE","205-99-2",1,1,1,0,1,1,1,NA,48,0.004,253,0.00000122,0.0000686,"1","1.04761205726673","11.0182029304333","1.10662586424976","10.9166559546677"
"8",8,8,"BENZO(A)ANTHRACENE","56-55-3",1,1,1,0,1,1,1,1,43,0.0181,112,0.0000011,0.0000626,"1","0.473966805973418","4.11412401983773","0.502418980485307","4.19080077475861"
"9",9,9,"NAPHTHALENE","91-20-3",1,1,1,0,1,1,1,1,17,0.00233,144,0.0000737,0.00409,"1","10.7417018029625","73.2414876373684","10.9938567345077","81.0369696056078"
"10",10,10,"FLUORANTHENE","206-44-0",1,1,1,0,1,1,1,1,47,0.0779,164,0.000000955,0.0000573,"1","1.86436653439547","20.5930816980947","1.9242212323809","12.0888216164189"
"11",11,11,"TRIFLURALIN","1582-09-8",1,1,1,0,1,1,1,NA,61,0.0946,113,0.00000157,0.0000982,"1","288.671748953011","3258.10633361888","299.395471320425","2255.30168040272"
"12",12,12,"ACENAPHTHENE","83-32-9",1,1,1,0,1,1,1,NA,4,2.45,78.1,0.0000000523,0.00000317,"1","4.62993420590502","23.9771792348195","4.86823964088888","23.5401291122499"
"13",13,13,"DDD, P,P'-","72-54-8",1,1,1,0,1,1,1,NA,143,0.981,133,0.000000111,0.00000519,"1","48.5902335948069","121.394666961927","46.6445818572464","119.7849517252"
"14",14,14,"BENZIDINE","92-87-5",1,1,1,0,1,1,1,NA,32,3.11,632,0.00000146,0.000131,"1","1.35051856290224","5.4741605716907","1.30281252062006","5.52726836152302"
"15",15,15,"DISULFOTON","298-04-4",1,1,1,0,1,1,1,1,33,5.87,81.8,0.000000083,0.00000616,"1","2.27024895973261","31.7124966665516","2.21850104062288","34.4478010620624"
"16",16,16,"DIAZINON","333-41-5",1,1,1,0,1,1,1,1,34,0.0616,118,0.000000102,0.00000636,"1","2.40655366926479","32.7655414009746","2.43817565308538","37.7721413611791"
"17",17,17,"ENDOSULFAN","115-29-7",1,1,1,0,1,1,1,NA,131,0.164,253,0.000000136,0.00000943,"1","254.403947242684","1914.30792443012","239.189086781508","2220.47441732059"
"18",18,18,"HEPTACHLOR EPOXIDE","1024-57-3",1,1,1,0,1,1,1,1,69,1.67,107,0.000000123,0.00000624,"","","","",""
"19",19,19,"PENTACHLOROPHENOL","87-86-5",1,1,1,0,1,1,1,1,110,0.993,164,0.0000011,0.0000837,"1","2.0194012876691","9.92467769642352","2.12456462419857","8.45886363532172"
"20",20,20,"METHOXYCHLOR","72-43-5",1,1,1,0,1,1,1,NA,105,0.476,181,0.000000107,0.00000795,"1","0.277550979285563","2.38660826773205","0.272015015679917","2.46235209439276"
"21",21,21,"DI-N-BUTYL PHTHALATE","84-74-2",1,1,1,0,1,1,1,1,61,0.0102,72.4,0.00008,0.00534,"1","0.426081252965734","2.00354912558614","0.431784641010054","2.00700691328696"
"22",22,22,"CHLORPYRIFOS","2921-88-2",1,1,1,0,1,1,1,1,75,2.35,164,0.000000023,0.00000139,"1","12.7497432597808","193.23414408553","12.8074269711681","203.863998528292"
"23",23,23,"DI(2-ETHYLHEXYL)PHTHALATE","117-81-7",1,1,1,0,1,1,1,1,42,0.37,67.2,0.00017,0.0114,"","","","",""
"24",24,24,"2,4,6-TRICHLOROPHENOL","88-06-2",1,1,1,0,1,1,1,1,18,0.808,316,0.00000000937,0.000000804,"1","5.48967661808849","42.0918232380195","5.57542603447957","37.3048647692768"
"25",25,25,"2,4-DINITROPHENOL","51-28-5",1,1,1,0,1,1,1,NA,20,0.0944,122,0.0000000619,0.0000032,"1","97.0470386234277","237.258743280816","96.6688778482318","234.384694748731"
"26",26,26,"2,4-DINITROTOLUENE","121-14-2",1,1,1,0,1,1,1,NA,6,4.85,28.3,0.0000000363,0.00000307,"1","27.2539244847603","71.6055129715422","28.6039532685681","61.3079066603657"
"27",27,27,"ETHION","563-12-2",1,1,1,0,1,1,1,1,43,0.163,285,0.000000118,0.00000778,"1","2.36097659268481","32.1559716850571","2.44451438877278","32.312280735153"
"28",28,28,"DIMETHYLARSINIC ACID","75-60-5",1,1,1,0,1,1,1,NA,19,0.00452,81.8,0.0000000432,0.00000263,"1","4.57239300816829","10.5951318635865","4.64334760057907","10.1860261912893"
"29",29,29,"AZINPHOS-METHYL","86-50-0",1,1,1,0,1,1,1,1,86,0.0942,253,0.0000000203,0.00000165,"1","0.255550632241321","0.821656556923903","0.264294834565821","0.854971845924214"
"30",30,30,"2,4,5-TRICHLOROPHENOL","95-95-4",1,1,1,0,1,1,1,1,111,0.552,133,0.0000000123,0.0000013,"1","10.3799312443897","135.552511452412","11.1539050698138","145.872351383536"
"31",31,31,"DICOFOL","115-32-2",1,1,1,0,1,1,1,NA,133,0.634,117,0.000000116,0.00000524,"1","5.62888647707863","64.1826488584686","5.44131263441741","79.239803950587"
"32",32,32,"PARATHION","56-38-2",1,1,1,0,1,1,1,1,74,0.1,81.8,0.0000000886,0.00000521,"1","19.5259102573676","212.616547529703","19.1345904644168","279.615340429239"
"33",33,33,"CRESOL, PARA-","106-44-5",1,1,1,0,1,1,1,NA,6,0.156,25.3,0.00000396,0.000251,"1","0.593349628434525","1.67976221003209","0.593080431433183","1.73506092266701"
"34",34,34,"PHENOL","108-95-2",1,1,1,0,1,1,1,NA,1,0.112,0.112,0.0000876,0.00551,"1","1.27738773856181","4.15730805373109","1.20850227691674","4.12292810725366"
"35",35,35,"MERCURIC CHLORIDE","7487-94-7",1,1,1,0,1,1,1,NA,208,0.126,126,0.0000000217,0.00000277,"","","","",""
"36",36,36,"DDT, O,P'-","789-02-6",1,1,1,1,1,1,1,1,124,0.105,112,0.000000116,0.0000074,"1","0.178524883727486","1.01543558804299","0.179565205275959","1.04697529954532"
"37",37,37,"4,6-DINITRO-O-CRESOL","534-52-1",1,1,1,0,1,1,1,NA,84,0.00223,164,0.0000000719,0.00000542,"1","505.319541271363","4440.07228782011","498.234989678824","4787.03737249301"
"38",38,38,"1,2,3-TRICHLOROBENZENE","87-61-6",1,1,1,0,1,1,1,NA,8,0.00215,15.5,0.000000219,0.0000149,"1","7.48959764927351","53.1308997575005","7.07121302958674","52.555913092899"
"39",39,39,"LEAD","7439-92-1",0,0,0,0,NA,NA,NA,1,0,NA,NA,NA,NA,"","","","",""
"40",40,40,"CADMIUM","7440-43-9",0,0,0,0,NA,NA,NA,1,0,NA,NA,NA,NA,"","","","",""
"41",41,41,"CHROMIUM, HEXAVALENT","18540-29-9",0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,"","","","",""
"42",42,42,"COBALT","7440-48-4",0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,"","","","",""
"43",43,43,"NICKEL","7440-02-0",0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,"","","","",""
"44",44,44,"ZINC","7440-66-6",0,0,0,0,NA,NA,NA,1,0,NA,NA,NA,NA,"","","","",""
"45",45,45,"METHYLMERCURY","22967-92-6",0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,"","","","",""
"46",46,46,"2,3',4,4',5-Pentachlorobiphenyl","31508-00-6",0,0,0,1,NA,NA,NA,1,0,NA,NA,NA,NA,"","","","",""
"47",47,47,"HEXACHLOROCYCLOHEXANE, BETA-","319-85-7",1,1,1,1,1,1,1,1,10,0.0137,41.5,0.0000000976,0.0000048,"","","","",""
"48",48,48,"2,3,7,8-TETRACHLORODIBENZO-P-DIOXIN","1746-01-6",0,1,1,1,NA,1,1,1,0,NA,NA,0.0000000169,0.00000152,"","","","",""
"49",49,49,"HEXACHLOROBENZENE","118-74-1",0,1,1,1,NA,1,1,1,0,NA,NA,0.00000203,0.000154,"","","","",""
"50",50,50,"HEXACHLOROCYCLOHEXANE, TECHNICAL GRADE","608-73-1",0,1,1,1,NA,1,1,1,0,NA,NA,0.0000001,0.00000628,"","","","",""
"51",51,51,"CHLORDANE, TECHNICAL","12789-03-6",0,1,1,1,NA,1,1,1,0,NA,NA,0.000000114,0.00000613,"","","","",""
"52",52,52,"POLYCHLORINATED BIPHENYLS","1336-36-3",0,0,1,1,NA,NA,1,1,0,NA,NA,0.0000271,0.00207,"","","","",""
"53",53,53,"1,2,3,4,6,7,8,9-OCTACHLORODIBENZOFURAN","39001-02-0",0,0,0,1,NA,NA,NA,1,0,NA,NA,NA,NA,"","","","",""
"54",54,54,"2,3,4,7,8-PENTACHLORODIBENZOFURAN","57117-31-4",0,0,0,1,NA,NA,NA,1,0,NA,NA,NA,NA,"","","","",""
"55",55,55,"2,3,7,8-TETRACHLORODIBENZOFURAN","51207-31-9",0,0,0,1,NA,NA,NA,1,0,NA,NA,NA,NA,"","","","",""
"56",56,56,"1,2,3,4,6,7,8-HEPTACHLORODIBENZOFURAN","67562-39-4",0,0,0,1,NA,NA,NA,1,0,NA,NA,NA,NA,"","","","",""
"57",57,57,"2,4-D ACID","94-75-7",1,1,1,0,1,1,1,1,8,0.0000925,97.8,0.000000385,0.0000337,"1","55.2031993379997","135.420162981931","54.770275562921","125.65565984988"
