Results of Simulation 1

Time	Q_central	Q_periph	Q_met
0	0	0	0
1	0	0	0
2	907.574	83.7418	8.56947
3	819.018	163.719	17.1912
4	743.141	231.795	24.9922
5	678.139	289.699	32.0902
6	622.433	338.909	38.586
7	574.678	380.684	44.5654
8	533.718	416.107	50.1021
9	498.568	446.101	55.2591
10	468.384	471.454	60.0901
11	442.447	492.84	64.6409
12	420.142	510.835	68.951
13	400.94	525.934	73.0539
14	384.393	538.556	76.9784
15	370.114	549.065	80.7492
16	357.774	557.766	84.3871
17	347.094	564.924	87.9102
18	337.832	570.762	91.3337
19	329.784	575.473	94.6708
20	322.773	579.222	97.9328
21	316.65	582.149	101.129
22	311.285	584.374	104.268
23	306.57	586	107.357
24	302.411	587.115	110.402
25	298.727	587.794	113.407
26	1203.04	671.843	124.947
27	1111.55	751.811	136.508
28	1033.04	819.608	147.221
29	965.659	877.001	157.206
30	907.803	925.497	166.566
31	858.079	966.398	175.389
32	815.309	1000.81	183.75
33	778.484	1029.67	191.714
34	746.745	1053.79	199.337
35	719.353	1073.85	206.664
36	695.678	1090.45	213.736
37	675.183	1104.1	220.588
38	657.406	1115.21	227.249
39	641.954	1124.17	233.744
40	628.49	1131.28	240.094
41	616.726	1136.82	246.319
42	606.416	1141.02	252.434
43	597.351	1144.06	258.452
44	589.35	1146.13	264.384
45	582.26	1147.36	270.242
46	575.949	1147.89	276.032
47	570.305	1147.8	281.763
48	565.232	1147.19	287.44
49	560.654	1146.14	293.069
50	1464.07	1228.47	307.223
51	1371.72	1306.71	321.391
52	1292.34	1372.78	334.701
53	1224.1	1428.45	347.275
54	1165.4	1475.21	359.214
55	1114.83	1514.39	370.609
56	1071.22	1547.07	381.534
57	1033.56	1574.21	392.053
58	1000.99	1596.6	402.221
59	972.78	1614.95	412.087
60	948.289	1629.84	421.689
61	926.979	1641.78	431.063
62	908.391	1651.19	440.238
63	892.132	1658.45	449.238
64	877.865	1663.87	458.087
65	865.303	1667.72	466.801
66	854.197	1670.23	475.398
67	844.338	1671.59	483.889
68	835.547	1671.99	492.288
69	827.669	1671.55	500.603
70	820.574	1670.4	508.844
71	814.149	1668.66	517.017
72	808.297	1666.4	525.129
73	802.95	1663.69	533.183
74	1705.51	1744.36	549.757
75	1612.39	1820.95	566.335
76	1532.25	1885.38	582.048
77	1463.25	1939.41	597.017
78	1403.8	1984.53	611.343
79	1352.47	2022.09	625.118
80	1308.11	2053.16	638.415
81	1269.7	2078.68	651.3
82	1236.38	2099.48	663.826
83	1207.41	2116.22	676.042
84	1182.18	2129.52	687.987
85	1160.12	2139.86	699.696
86	1140.79	2147.69	711.198
87	1123.79	2153.37	722.52
88	1108.79	2157.21	733.681
89	1095.49	2159.49	744.701
90	1083.66	2160.43	755.596
91	1073.07	2160.23	766.378
92	1063.55	2159.07	777.061
93	1054.95	2157.08	787.652
94	1047.13	2154.39	798.162
95	1039.98	2151.1	808.597
96	1033.41	2147.3	818.964
97	1027.36	2143.06	829.264
98	1929.23	2222.21	848.078
99	1835.38	2297.29	866.89
100	1754.53	2360.2	884.83
101	1684.82	2412.72	902.018
102	1624.67	2456.33	918.556
103	1572.64	2492.39	934.536
104	1527.57	2521.95	950.032
105	1488.46	2545.99	965.107
106	1454.43	2565.31	979.819
107	1424.76	2580.59	994.212
108	1398.82	2592.41	1008.33
109	1376.07	2601.28	1022.2
110	1356.05	2607.64	1035.86
111	1338.37	2611.86	1049.33
112	1322.69	2614.23	1062.63
113	1308.72	2615.05	1075.79
114	1296.2	2614.54	1088.81
115	1284.94	2612.9	1101.72
116	1274.75	2610.29	1114.52
117	1265.48	2606.86	1127.22
118	1256.99	2602.74	1139.83
119	1249.18	2598.02	1152.36
