"","Substance","CAS","Orange","ToxCast","Tox21","ExpoCast","NHANES","MW","Expo.Total_median","Expo.Total_95perc","Boiling.Point.Ave.exp","Boiling.Point.Ave.prd","Boiling.Point.Med.exp","Boiling.Point.Med.prd","Boiling.Point.Rng.exp","Boiling.Point.Rng.prd","Boiling.Point.Deg","LogP.Ave.exp","LogP.Ave.prd","LogP.Med.exp","LogP.Med.prd","LogP.Rng.exp","LogP.Rng.prd","LogP","Type","Rev.CAS"
"1","DDT, P,P'-","50-29-3",0,1,1,1,1,354.49,1.22e-07,7.35e-06,"185 (2)","348 (3)",185,348,"110 to 260","330 to 368","C","6.91 (1)","6.18 (4)",6.91,6.18,6.91,"5.62 to 6.79",6.91,"EXP","0"
"2","DIELDRIN","60-57-1",0,1,1,1,1,380.91,1.29e-07,4.48e-06,"330 (1)","330 (2)",330,330,"330","330 to 331","C","5.40 (1)","5.23 (3)",5.4,5.23,5.4,"4.97 to 5.45",5.4,"EXP","0"
"3","ALDRIN","309-00-2",0,1,1,1,1,364.91,1.27e-07,6.43e-06,NA,"312 (2)",NA,312,NA,"300 to 324","C","6.50 (1)","6.22 (3)",6.5,6.22,6.5,"6.12 to 6.32",6.5,"EXP","0"
"4","HEPTACHLOR","76-44-8",0,1,1,1,1,373.32,1.2e-07,6.41e-06,"228 (2)","318 (3)",145,318,"145","309 to 331","C","6.10 (1)","5.78 (4)",6.1,5.78,6.1,"5.56 to 6.04",6.1,"EXP","0"
"5","HEXACHLOROCYCLOHEXANE, GAMMA-","58-89-9",0,1,1,1,1,290.83,1.52e-06,0.000105,NA,"283 (3)",NA,283,NA,"245 to 304","C","3.72 (1)","3.87 (4)",3.72,3.87,3.72,"3.63 to 4.26",3.72,"EXP","0"
"6","ENDRIN","72-20-8",0,1,1,1,1,380.91,1.29e-07,7.13e-06,NA,"330 (2)",NA,330,NA,"330 to 331","C","5.40 (1)","5.23 (3)",5.4,5.23,5.4,"4.97 to 5.45",5.2,"EXP","0"
"7","BENZO(B)FLUORANTHENE","205-99-2",0,1,1,1,NA,252.31,1.22e-06,6.86e-05,NA,"420 (3)",NA,420,NA,"355 to 462","C","5.78 (1)","5.56 (4)",5.78,5.56,5.78,"4.71 to 6.26",5.78,"EXP","0"
"8","BENZO(A)ANTHRACENE","56-55-3",0,1,1,1,1,228.29,1.1e-06,6.26e-05,"437 (3)","410 (3)",437,410,"437 to 438","399 to 421","C","5.76 (1)","5.28 (4)",5.76,5.28,5.76,"4.42 to 5.82",5.76,"EXP","0"
"9","NAPHTHALENE","91-20-3",0,1,1,1,1,128.17,7.37e-05,0.00409,"218 (5)","221 (4)",218,221,"218","195 to 233","C","3.30 (2)","2.99 (4)",3.3,2.99,3.3,"2.44 to 3.34",3.3,"EXP","0"
"10","FLUORANTHENE","206-44-0",0,1,1,1,1,202.25,9.55e-07,5.73e-05,"380 (2)","350 (3)",375,350,"375","298 to 380","C","5.16 (1)","4.77 (4)",5.16,4.77,5.16,"3.96 to 5.10",5.16,"EXP","0"
"11","TRIFLURALIN","1582-09-8",0,1,1,1,NA,335.28,1.57e-06,9.82e-05,NA,"360 (3)",NA,360,NA,"348 to 382","C","5.34 (1)","5.17 (4)",5.34,5.17,5.34,"5.02 to 5.31",5.34,"EXP","0"
"12","ACENAPHTHENE","83-32-9",0,1,1,1,NA,154.21,5.23e-08,3.17e-06,"279 (4)","271 (3)",278,271,"278 to 279","269 to 273","C","3.92 (1)","3.40 (4)",3.92,3.4,3.92,"2.47 to 4.15",3.92,"EXP","0"
"13","DDD, P,P'-","72-54-8",0,1,1,1,NA,320.04,1.11e-07,5.19e-06,"272 (2)","345 (3)",193,345,"193","327 to 367","C","6.02 (1)","5.73 (4)",6.02,5.73,6.02,"5.05 to 6.04",6.02,"EXP","0"
"14","BENZIDINE","92-87-5",0,1,1,1,NA,184.24,1.46e-06,0.000131,"394 (6)","358 (3)",400,358,"359 to 402","337 to 370","C","1.34 (1)","1.52 (4)",1.34,1.52,1.34,"1.32 to 1.92",1.34,"EXP","0"
"15","DISULFOTON","298-04-4",0,1,1,1,1,274.4,8.3e-08,6.16e-06,NA,"316 (3)",NA,316,NA,"303 to 332","C","4.02 (1)","3.88 (4)",4.02,3.88,4.02,"3.83 to 3.92",4.02,"EXP","0"
"16","DIAZINON","333-41-5",0,1,1,1,1,304.35,1.02e-07,6.36e-06,NA,"331 (3)",NA,331,NA,"288 to 366","C","3.81 (1)","3.67 (4)",3.81,3.67,3.81,"3.51 to 3.86",3.81,"EXP","0"
"17","ENDOSULFAN","115-29-7",0,1,1,1,NA,406.93,1.36e-07,9.43e-06,NA,"366 (3)",NA,366,NA,"332 to 401","C","3.83 (2)","3.79 (4)",3.83,3.79,3.83,"3.50 to 4.19",3.83,"EXP","0"
"18","HEPTACHLOR EPOXIDE","1024-57-3",0,1,1,1,1,389.32,1.23e-07,6.24e-06,NA,"339 (3)",NA,339,NA,"329 to 348","C","4.98 (1)","5.00 (4)",4.98,5,4.98,"4.56 to 5.21",4.98,"EXP","0"
"19","PENTACHLOROPHENOL","87-86-5",0,1,1,1,1,266.34,1.1e-06,8.37e-05,"309 (3)","292 (3)",309,292,"309 to 310","274 to 312","C","5.12 (1)","4.55 (4)",5.12,4.55,5.12,"3.58 to 5.11",5.12,"EXP","0"
"20","METHOXYCHLOR","72-43-5",0,1,1,1,NA,345.65,1.07e-07,7.95e-06,"346 (1)","359 (3)",346,359,"346","343 to 378","C","5.08 (1)","5.22 (4)",5.08,5.22,5.08,"4.08 to 5.83",5.08,"EXP","0"
"21","DI-N-BUTYL PHTHALATE","84-74-2",0,1,1,1,1,278.34,8e-05,0.00534,"340 (5)","336 (4)",340,336,"339 to 340","321 to 348","C","4.50 (1)","4.51 (4)",4.5,4.51,4.5,"4.39 to 4.62",4.5,"EXP","0"
