"","Analyte","CASRN","SFO
(mg/kg-day)-1","k
e
y","IUR
(ug/m3)-1","k
e
y__1","RfDo
(mg/kg-day)","k
e
y__2","RfCi
(mg/m3)","k
e
y__3","v
o
l","muta-
gen","GIABS","ABS","Csat
(mg/kg)","Resident Soil
(mg/kg)","key","Industrial Soil
(mg/kg)","key__1","Resident Air
(ug/m3)","key__2","Industrial Air
(ug/m3)","key__3","Tapwater
(ug/L)","key__4","MCL
(ug/L)","Risk-based
SSL
(mg/kg)","key__5","MCL-based
SSL
(mg/kg)"
"1","Aldrin","309-00-2",17,"I",0.0049,"I",3e-05,"I",NA,NA,"V",NA,1,NA,NA,0.039,"c*",0.18,"c",0.00057,"c",0.0025,"c",0.00092,"c",NA,0.00015,"c",NA
"2","Azinphos-methyl","86-50-0",NA,NA,NA,NA,0.003,"A",0.01,"A",NA,NA,1,0.1,NA,190,"n",2500,"n",10,"n",44,"n",56,"n",NA,0.017,"n",NA
"3","Benzidine","92-87-5",230,"I",0.067,"I",0.003,"I",NA,NA,NA,"M",1,0.1,NA,0.00053,"c",0.01,"c",1.5e-05,"c",0.00018,"c",0.00011,"c",NA,2.8e-07,"c",NA
"4","Cadmium (Diet)","7440-43-9",NA,NA,0.0018,"I",0.001,"I",1e-05,"A",NA,NA,0.025,0.001,NA,71,"n",980,"n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Cadmium (Water)","7440-43-9",NA,NA,0.0018,"I",5e-04,"I",1e-05,"A",NA,NA,0.05,0.001,NA,NA,NA,NA,NA,0.0016,"c**",0.0068,"c**",9.2,"n","5",0.69,"n",0.38
"6","Chlorpyrifos","2921-88-2",NA,NA,NA,NA,0.001,"A",NA,NA,NA,NA,1,0.1,NA,63,"n",820,"n",NA,NA,NA,NA,8.4,"n",NA,0.12,"n",NA
"7","Chromium(VI)","18540-29-9",0.5,"C",0.084,"S",0.003,"I",1e-04,"I",NA,"M",0.025,NA,NA,0.3,"c",6.3,"c",1.2e-05,"c",0.00015,"c",0.035,"c",NA,0.00067,"c",NA
"8","Cobalt","7440-48-4",NA,NA,0.009,"P",3e-04,"P",6e-06,"P",NA,NA,1,NA,NA,23,"n",350,"n",0.00031,"c*",0.0014,"c*",6,"n",NA,0.27,"n",NA
"9","Cresol, p-","106-44-5",NA,NA,NA,NA,0.1,"A",0.6,"C",NA,NA,1,0.1,NA,6300,"n",82000,"n",630,"n",2600,"n",1900,"n",NA,1.5,"n",NA
"10","DDD","72-54-8",0.24,"I",6.9e-05,"C",NA,NA,NA,NA,NA,NA,1,0.1,NA,2.3,"c",9.6,"c",0.041,"c",0.18,"c",0.032,"c",NA,0.0075,"c",NA
"11","DDT","50-29-3",0.34,"I",9.7e-05,"I",5e-04,"I",NA,NA,NA,NA,1,0.03,NA,1.9,"c*",8.5,"c*",0.029,"c",0.13,"c",0.23,"c*",NA,0.077,"c*",NA
"12","Diazinon","333-41-5",NA,NA,NA,NA,7e-04,"A",NA,NA,NA,NA,1,0.1,NA,44,"n",570,"n",NA,NA,NA,NA,10,"n",NA,0.065,"n",NA
"13","Dieldrin","60-57-1",16,"I",0.0046,"I",5e-05,"I",NA,NA,NA,NA,1,0.1,NA,0.034,"c*",0.14,"c",0.00061,"c",0.0027,"c",0.0018,"c",NA,7.1e-05,"c",NA
"14","Dinitro-o-cresol, 4,6-","534-52-1",NA,NA,NA,NA,8e-05,"X",NA,NA,NA,NA,1,0.1,NA,5.1,"n",66,"n",NA,NA,NA,NA,1.5,"n",NA,0.0026,"n",NA
"15","Dinitrophenol, 2,4-","51-28-5",NA,NA,NA,NA,0.002,"I",NA,NA,NA,NA,1,0.1,NA,130,"n",1600,"n",NA,NA,NA,NA,39,"n",NA,0.044,"n",NA
"16","Dinitrotoluene, 2,4-","121-14-2",0.31,"C",8.9e-05,"C",0.002,"I",NA,NA,NA,NA,1,0.102,NA,1.7,"c*",7.4,"c",0.032,"c",0.14,"c",0.24,"c",NA,0.00032,"c",NA
"17","Disulfoton","298-04-4",NA,NA,NA,NA,4e-05,"I",NA,NA,NA,NA,1,0.1,NA,2.5,"n",33,"n",NA,NA,NA,NA,0.5,"n",NA,0.00094,"n",NA
"18","Endosulfan","115-29-7",NA,NA,NA,NA,0.006,"I",NA,NA,"V",NA,1,NA,NA,470,"n",7000,"n",NA,NA,NA,NA,100,"n",NA,1.4,"n",NA
