"","chem","CAS","ToxCast","Tox21","ExpoCast","NHANES","Expo.Total_median","Expo.Total_95perc","Css.med_med.3cpt.plasma.uM","Css.med_95.3cpt.plasma.uM","Css.95perc_med.3cpt.plasma.uM","Css.95perc_95.3cpt.plasma.uM","Css.med_medpbtk.plasma.uM","Css.med_95pbtk.plasma.uM","Css.95perc_medpbtk.plasma.uM","Css.95perc_95pbtk.plasma.uM","No.ToxData","Min.AC50","Max.AC50"
"1","BENZO(A)ANTHRACENE","56-55-3",1,1,1,1,1.1e-06,6.26e-05,"1.01919101290769e-06","7.84168493947275e-06","5.80012340072924e-05","0.000446263161100904","7.10624696011058e-07","1.00732018965525e-05","4.04410054275384e-05","0.000573256762476534","86",0.0181,112
"2","NAPHTHALENE","91-20-3",1,1,1,1,7.37e-05,0.00409,"0.00100530026264081","0.00927309291746828","0.0557893904233503","0.514612619164793","0.00100622467388735","0.00914627505963388","0.0558406908575206","0.507574830310754","17",0.00233,144
"3","FLUORANTHENE","206-44-0",1,1,1,1,9.55e-07,5.73e-05,"4.56669714503017e-06","8.98319401358761e-05","0.00027400182870181","0.00538991640815257","4.81257517757284e-06","5.68283706883718e-05","0.00028875451065437","0.00340970224130231","47",0.0779,164
"4","DDT, P,P'-","50-29-3",1,1,1,1,1.22e-07,7.35e-06,"2.92887029943868e-08","1.55422306253435e-07","1.7645243197438e-06","9.36355697510451e-06","9.9995147788339e-09","1.37325747430332e-07","6.02429783806796e-07","8.27331347223721e-06","139",0.000479,253
"5","DIELDRIN","60-57-1",1,1,1,1,1.29e-07,4.48e-06,"3.57847834766132e-05","0.000305982671617921","0.00124275837190099","0.0106263749523123","3.39325570925226e-05","0.000282800766657353","0.00117843299050001","0.00982129794282899","60",0.0406,169
"6","ALDRIN","309-00-2",1,1,1,1,1.27e-07,6.43e-06,"3.54130530787118e-05","0.000341250811960856","0.0017929600889458","0.0172775017394355","3.52077027352386e-05","0.000357550815405174","0.00178256321722507","0.0181027696303564","122",0.912,253
"7","HEPTACHLOR","76-44-8",1,1,1,1,1.2e-07,6.41e-06,"1.13370369621689e-07","1.44287209289684e-06","6.05586724395853e-06","7.70734176289061e-05","9.04194073051367e-08","1.64978633355309e-06","4.82990334021605e-06","8.81260866506277e-05","128",5.05,164
"8","HEXACHLOROCYCLOHEXANE, GAMMA-","58-89-9",1,1,1,1,1.52e-06,0.000105,"9.52838183967058e-06","0.000115156720699092","0.000658210587608823","0.00795490504829253","9.55874009511565e-06","0.00012631621994442","0.00066030770393891","0.00872579150931852","27",5.68,116
"9","DISULFOTON","298-04-4",1,1,1,1,8.3e-08,6.16e-06,"1.94983558468542e-07","2.74397199143332e-06","1.44710689176653e-05","0.000203649005629268","1.66571026788733e-07","3.40396955979145e-06","1.23623798195012e-05","0.000252631957690546","33",5.87,81.8
"10","ENDRIN","72-20-8",1,1,1,1,1.29e-07,7.13e-06,"3.43683317174819e-05","0.000401778020965556","0.00189958298562516","0.0222068006936776","3.3070869676399e-05","0.000331006709833293","0.00182787054878081","0.0182951770628789","41",0.219,64.9
"11","DIAZINON","333-41-5",1,1,1,1,1.02e-07,6.36e-06,"2.59657681531121e-07","3.85199429141076e-06","1.61904201425288e-05","0.000240183173464436","2.45733050761499e-07","3.30079368397438e-06","1.53221784592464e-05","0.00020581419441252","34",0.0616,118
"12","HEPTACHLOR EPOXIDE","1024-57-3",1,1,1,1,1.23e-07,6.24e-06,NA,NA,NA,NA,NA,NA,NA,NA,"69",1.67,107
"13","PENTACHLOROPHENOL","87-86-5",1,1,1,1,1.1e-06,8.37e-05,"2.99239472012657e-06","1.65924258521468e-05","0.000227694034613267","0.00126253276711335","2.70524481474399e-06","1.50020731114458e-05","0.000205844537267338","0.00114152138129819","110",0.993,164
"14","DI-N-BUTYL PHTHALATE","84-74-2",1,1,1,1,8e-05,0.00534,"0.000146803519017385","0.00194059035856576","0.00979913489441045","0.129534406434265","0.000132361883299433","0.00233460816800703","0.00883515571023715","0.155835095214469","61",0.0102,72.4
"15","CHLORPYRIFOS","2921-88-2",1,1,1,1,2.3e-08,1.39e-06,"3.79195982933197e-07","4.43051580247618e-06","2.29166267946584e-05","0.000267757259367039","3.78759128413256e-07","4.70969037026217e-06","2.28902255867142e-05","0.000284629113681061","75",2.35,164
"16","DI(2-ETHYLHEXYL)PHTHALATE","117-81-7",1,1,1,1,0.00017,0.0114,NA,NA,NA,NA,NA,NA,NA,NA,"42",0.37,67.2
"17","2,4,6-TRICHLOROPHENOL","88-06-2",1,1,1,1,9.37e-09,8.04e-07,"5.12146337709372e-08","4.35131956895808e-07","4.39451073125224e-06","3.73368295991707e-05","4.79473599105139e-08","4.82197389166674e-07","4.11415980448806e-06","4.13753149295631e-05","18",0.808,316
"18","ETHION","563-12-2",1,1,1,1,1.18e-07,7.78e-06,"2.81973192470827e-07","3.6828301598441e-06","1.85911138764664e-05","0.000242817107149043","2.45956295602481e-07","3.67558959722934e-06","1.6216440506672e-05","0.00024233972090207","43",0.163,285
"19","AZINPHOS-METHYL","86-50-0",1,1,1,1,2.03e-08,1.65e-06,"8.43603821407011e-09","2.64515503211714e-08","6.85687835133777e-07","2.15000285861738e-06","4.74794732162333e-09","2.51755582994391e-08","3.85916900526034e-07","2.04628922138298e-06","86",0.0942,253
"20","2,4,5-TRICHLOROPHENOL","95-95-4",1,1,1,1,1.23e-08,1.3e-06,"1.29411696981012e-07","1.86022805408022e-06","1.36776590305135e-05","0.00019660946913043","1.31769738785026e-07","1.83838000727238e-06","1.3926882961019e-05","0.000194300325971878","111",0.552,133
"21","PARATHION","56-38-2",1,1,1,1,8.86e-08,5.21e-06,"1.65447086391446e-06","2.21821054933637e-05","9.72888623137061e-05","0.00130438791896642","1.63398599170318e-06","2.20038766431141e-05","9.60842778416881e-05","0.00129390741885581","74",0.1,81.8
"22","LEAD","7439-92-1",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA
"23","CADMIUM","7440-43-9",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA
"24","ZINC","7440-66-6",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA
"25","BENZO(B)FLUORANTHENE","205-99-2",1,1,1,NA,1.22e-06,6.86e-05,"2.19860944787409e-06","2.87935258952081e-05","0.000123626727970625","0.00161904580033711","2.16505929207111e-06","2.85898933128749e-05","0.0001217402192099","0.00160759564037969","48",0.004,253
"26","TRIFLURALIN","1582-09-8",1,1,1,NA,1.57e-06,9.82e-05,"0.000451129235878532","0.00450516139946803","0.028217128002084","0.281787802183287","0.000449884112696165","0.00393681858313666","0.0281392483227792","0.246239226028038","61",0.0946,113
