"","idChemical","strName","strCAS","strMF","Source","Type","numValue","RfDConsistent","dateAssessed","strHyperlink","strDateAssessed","strReference","POD type","numPOD","strUnitsPOD","BMR Type","strCriticalEffect","Adjusted","Route to Route","Animal to Human","strDR","numUF","numUFa","numUFh","numUFs","numUFl","numUFd","numUFother","UFsConsistent","strUFother","strRelatedCompound","Species","Strain","Sex","Route","intHoursPerDay","intDaysPerWeek","strDuration","Duration type","Organ","tblOrgan_strSex","strMOA","idEffect","Effect","tblEffect_strSex","DR Type","strEffectPOD","CV Type","strDoseUnits","strResponseUnits","strDoseConvertedUnits","strDoseHEqUnits","strComment","intDoseOrder","numDose","numDoseConverted","numDoseHEq","intAnimals","intAnimalsEffected","numMeanResponse","numSDResponse"
"1",514,"2,4,5-Trichlorophenol","95954","C6H3Cl3O","IRIS","RfD (mg/kg/day)",0.1,1,1988-03-01,"http://www.epa.gov/iris/subst/0121.htm","3/1/1988","McCollister, D.D., D.T. Lockwood and V.K. Rowe. 1961. Toxicologic information on 2,4,5-trichlorophenol. Toxicol. Appl. Pharmacol. 3: 63-70.","NOEL",100,"mg/kg/day","NA","Liver and kidney pathology","No","None","None","No",1000,10,10,10,NA,NA,NA,TRUE,NA,NA,"Rat","Unspecified","M/F","Oral diet",NA,NA,"98","Days","kidneys","Both","None",1416,"nonneoplastic histopathology","Both","Dichotomous","kidney pathology",NA,NA,NA,NA,NA,"slight degenerative changes in the kidneys; incidence data were not presented in primary report",NA,NA,NA,NA,NA,NA,NA,NA
"2",514,"2,4,5-Trichlorophenol","95954","C6H3Cl3O","IRIS","RfD (mg/kg/day)",0.1,1,1988-03-01,"http://www.epa.gov/iris/subst/0121.htm","3/1/1988","McCollister, D.D., D.T. Lockwood and V.K. Rowe. 1961. Toxicologic information on 2,4,5-trichlorophenol. Toxicol. Appl. Pharmacol. 3: 63-70.","NOEL",100,"mg/kg/day","NA","Liver and kidney pathology","No","None","None","No",1000,10,10,10,NA,NA,NA,TRUE,NA,NA,"Rat","Unspecified","M/F","Oral diet",NA,NA,"98","Days","liver","Both","None",1414,"nonneoplastic histopathology","Both","Dichotomous","liver pathology",NA,NA,NA,NA,NA,"slight degenerative changes in the liver; incidence data were not presented in primary report",NA,NA,NA,NA,NA,NA,NA,NA
"3",482,"2,4,6-Trichlorophenol","88062","C6H3Cl3O","PPRTV","RfD (mg/kg/day)",0.001,1,NA,"http://hhpprtv.ornl.gov/issue_papers/Trichlorophenol246.pdf","3/21/2007","Exon, J.H. and L.D. Koller. 1985. Toxicity of 2-chlorophenol, 2,4-dichlorophenol, and 2,4,6-
trichlorophenol. In: Water Chlorination: Chemistry, Environmental Impact and Health Effects,
R.L. Jolley et al., Ed. Proceedings Fifth Conference Williamsburg, Chelsea, MI. Lewis Publishers. P. 307-330.","NOAEL",3,"mg/kg/day","NA","Decreased litter size","NA","None","None","No",3000,10,10,10,NA,3,NA,TRUE,NA,NA,"Rat","Sprague-Dawley","F","Oral drinking water",NA,NA,"13","Weeks","female repro","Both","None",3255,"reproduction","Both","Continuous","Decreased litter size","SE","ppm water","pups/litter","mg/kg-day",NA,"Dose-response data are from Table 5 of the primary report; calculated doses are reported in the PPRTV document.  Mean pups per litter included stillborn pups; percent stillborn were 0, 2, 3, and 3% in control through high dose groups.",NA,0,0,NA,NA,NA,12.1,1.1
"4",482,"2,4,6-Trichlorophenol","88062","C6H3Cl3O","CalEPA","Oral Slope Factor (mg/kg-day)-1",0.07,NA,NA,NA,"1988","National Cancer Institute (NCI). 1979. Bioassay of 2,4,6-Trichlorophenol for Possible Carcinogenicity. National Cancer Institute, National Institutes of Health, Bethesda, MD.",NA,NA,NA,"10% ER","hepatoma","NA","None","BW2/3","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mouse","B6C3F1","M/F","Oral diet",NA,NA,"105","Weeks","liver","Both","None",2647,"neoplasia","M","Dichotomous","hepatoma",NA,"ppm",NA,"mg/kg/day",NA,"OSF is the geometric mean of slope factors calculated from four data sets.  The OSF calculated for this dataset 0.021 per mg/kg/day.",NA,0,0,NA,20,4,NA,NA
"5",482,"2,4,6-Trichlorophenol","88062","C6H3Cl3O","CalEPA","Oral Slope Factor (mg/kg-day)-1",0.07,NA,NA,NA,"1988","National Cancer Institute (NCI). 1979. Bioassay of 2,4,6-Trichlorophenol for Possible Carcinogenicity. National Cancer Institute, National Institutes of Health, Bethesda, MD.",NA,NA,NA,"10% ER","hepatoma","NA","None","BW2/3","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mouse","B6C3F1","M/F","Oral diet",NA,NA,"105","Weeks","liver","Both","None",2648,"neoplasia","F","Dichotomous","hepatoma",NA,"ppm",NA,"mg/kg/day",NA,"OSF is the geometric mean of slope factors calculated from four data sets.  The OSF calculated for this dataset 0.008 per mg/kg/day.",NA,0,0,NA,20,1,NA,NA
"6",482,"2,4,6-Trichlorophenol","88062","C6H3Cl3O","CalEPA","Oral Slope Factor (mg/kg-day)-1",0.07,NA,NA,NA,"1988","Innes JRM, Ulland BM, Valerio MG, Petrucelli L, Fishbein L, Hart ER, Pallotta AJ, Bates RR, Falk HL, Gart JJ, Klein M, Mitchell I and Peters J. 1969. Bioassay of pesticides and industrial chemicals for tumorigenicity in mice: a preliminary note. J Natl Cancer Inst 42:1101-1114.",NA,NA,NA,"10% ER","reticulum cell sarcoma (males); hepatoma (female)","Yes","None","BW2/3","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mouse","B6C3F1","M/F","Oral gavage",NA,NA,"78","Weeks","liver","F","None",2649,"neoplasia","F","Dichotomous","hepatoma",NA,"mg/kg/day (TWA)",NA,NA,NA,"Animals were treated with 100 mg/kg/day by oral gavage from day 7 to 28 of life, then fed diet containing 260 ppm for 74 weeks.  OSF is the geometric mean of slope factors calculated from four data sets.  The OSF calculated for this dataset 0.28 per mg/kg/day.",NA,0,NA,NA,87,0,NA,NA
"7",482,"2,4,6-Trichlorophenol","88062","C6H3Cl3O","CalEPA","Oral Slope Factor (mg/kg-day)-1",0.07,NA,NA,NA,"1988","Innes JRM, Ulland BM, Valerio MG, Petrucelli L, Fishbein L, Hart ER, Pallotta AJ, Bates RR, Falk HL, Gart JJ, Klein M, Mitchell I and Peters J. 1969. Bioassay of pesticides and industrial chemicals for tumorigenicity in mice: a preliminary note. J Natl Cancer Inst 42:1101-1114.",NA,NA,NA,"10% ER","reticulum cell sarcoma (males); hepatoma (female)","Yes","None","BW2/3","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mouse","B6C3F1","M/F","Oral gavage",NA,NA,"78","Weeks","systemic","M","None",2650,"neoplasia","M","Dichotomous","reticulum cell sarcoma",NA,"mg/kg/day (TWA)",NA,NA,NA,"Animals were treated with 100 mg/kg/day by oral gavage from day 7 to 28 of life, then fed diet containing 260 ppm for 74 weeks.  OSF is the geometric mean of slope factors calculated from four data sets.  The OSF calculated for this dataset 0.47 per mg/kg/day.",NA,0,NA,NA,79,3,NA,NA
"8",482,"2,4,6-Trichlorophenol","88062","C6H3Cl3O","IRIS","Oral Slope Factor (1/mg/kg-day)",0.011,NA,1994-02-01,"http://www.epa.gov/iris/subst/0122.htm","2/1/1994","NCI (National Cancer Institute). 1979. Bioassay of 2,4,6-Trichlorophenol for Possible Carcinogenicity. U.S. DHEW Publ. No. NCI-CG-TR-155.",NA,NA,NA,"Other","leukemia","No","None","BW2/3","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rat","Fischer 344","M/F","Oral diet",NA,NA,"106-107","Weeks","blood","M","MOA Data",1425,"neoplasia","M","Dichotomous","leukemia",NA,"ppm","incidence","mg/kg/day","mg/kg/day",NA,NA,0,0,0,20,3,NA,NA
"9",482,"2,4,6-Trichlorophenol","88062","C6H3Cl3O","IRIS","Inhalation Unit Risk (1/μg/m3)",3.1e-06,NA,1994-02-01,"http://www.epa.gov/iris/subst/0122.htm","2/1/1994","NCI (National Cancer Institute). 1979. Bioassay of 2,4,6-Trichlorophenol for Possible Carcinogenicity. U.S. DHEW Publ. No. NCI-CG-TR-155.",NA,NA,NA,"Other","leukemia (derived from oral data)","No","Other","BW2/3","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rat","Fischer 344","M/F","Oral diet",NA,NA,"106-107","Weeks","blood","M","MOA Data",1428,"neoplasia","M","Dichotomous","leukemia",NA,NA,NA,NA,NA,"Calculated from the oral data in the ORF section.  Method for route-to-route extrapolation was not reported.",NA,NA,NA,NA,NA,NA,NA,NA
"10",254,"2,4-Dinitrophenol","51285","C6H4N2O5","IRIS","RfD (mg/kg/day)",0.002,1,1991-07-01,"http://www.epa.gov/iris/subst/0152.htm","7/1/1991","Horner, W.D. 1942. Dinitrophenol and its relation to formation of cataracts. Arch. Ophthal. 27: 1097.","LOAEL",2,"mg/kg/day","NA","Cataract formation","No","None","NA","No",1000,NA,10,10,10,NA,NA,TRUE,NA,NA,"Human",NA,"Unspecified","Oral - other",NA,NA,NA,"Duration","eyes/ocular","Both","None",619,"nonneoplastic histopathology","Both","Dichotomous","Cataract formation",NA,NA,NA,NA,NA,"Over 100 anecdotal cases of cataracts resulting from therapeutic use of 2,4- dinitrophenol were reviewed. The length of time and amount of drug taken varied among the population.  Cataracts were observed in patients receiving as little as 2 mg/kg/day, the lower range of the recommended therapeutic dose.",NA,NA,NA,NA,NA,NA,NA,NA
