"Compound" "ExpoCast.group" "css95" "oed.AC50p10" "exposure.median.95CI.upper" "aer"
"2,4-d" "Age.12.19" 81.7472357070617 2.62577686136312e-06 1.8449466101034e-05 0.142322647548915
"Naphthalene" "Age.12.19" 42.0886267913121 9.50375506388741e-05 8.09359578052691e-05 1.1742314938378
"Triclosan" "Age.12.19" 2086.00923142344 0.0029079449451241 0.000160343773721879 18.1356898220945
"Methylparaben" "Age.12.19" 0.901308631801109 0.213334248908459 0.000944511572306419 225.867268505259
"Fenitrothion" "Age.12.19" 129.680719111779 0.0155150280919228 4.54597130295738e-05 341.291817698663
"Permethrin" "Age.12.19" 1541.24811047328 0.00297680819124646 8.06202198644766e-06 369.238411437045
"Malathion" "Age.12.19" 17.4867613798805 0.0225599235575946 5.78808730499997e-05 389.764742112761
"Di-n-octyl phthalate" "Age.12.19" 82.9667216970279 0.0593611498593951 9.69911889483281e-05 612.026210865604
"Dimethoate" "Age.12.19" 1.01523518610642 0.0162523917864588 2.45007352455544e-05 663.343023120408
"Chlorethoxyfos" "Age.12.19" 2713.21365165563 0.00416480286876952 4.91372808423102e-06 847.585132383511
"Pirimiphos-methyl" "Age.12.19" 29.3938401910637 0.0874332847730911 4.94888753108549e-05 1766.7260414365
"Parathion" "Age.12.19" 176.048237442357 0.0120705553822757 6.54219666386883e-06 1845.03095862875
"Diethylphthalate" "Age.12.19" 0.614156754009213 3.17427104281387 0.00126220518573617 2514.86135430707
"Phorate" "Age.12.19" 601.40288410663 0.0142533403589068 3.97010509694779e-06 3590.16701342863
"Diphenylenemethane" "Age.12.19" 21.0853095556586 0.0376091229728796 9.6020896725001e-06 3916.76439771129
"Chlorpyrifos-methyl" "Age.12.19" 47.4404921812248 0.207291272662891 5.2766411059873e-05 3928.47018584761
"Coumaphos" "Age.12.19" 25.124177723477 0.0245978199486512 5.25559418933448e-06 4680.31188529913
"Fenthion" "Age.12.19" 9.84408793954268 0.261070402436835 4.55244317470907e-05 5734.73171257144
"Methidathion" "Age.12.19" 2.01011562825738 0.318290147594473 4.18214042308553e-05 7610.69967515923
"Dibutylphthalate" "Age.12.19" 0.835593461221158 2.59695665500865 0.000317320633903856 8184.01445585003
"Ethion" "Age.12.19" 18.4853193069483 0.0555684206987916 5.56959579320092e-06 9977.10116892624
"Lindane" "Age.12.19" 69.7051170752149 0.0897495085367908 8.64039443966423e-06 10387.2003950179
"Chlorpyrifos" "Age.12.19" 112.694568135958 0.081885046924951 5.15108742761628e-06 15896.6525176693
"Phosphonothioic acid" "Age.12.19" 20.0191717919896 0.0958081592949547 5.99610037974996e-06 15978.4115053374
"Bisphenol-a" "Age.12.19" 1.40254981465596 0.55612997973361 3.3754367445215e-05 16475.7932624937
"Carbofuran" "Age.12.19" 8.41543915087908 0.0372180220645149 1.13051934771439e-06 32921.172149561
"Phosmet" "Age.12.19" 2.66377865953207 1.35747014379761 3.67393171109173e-05 36948.7037469792
"Quintozene" "Age.12.19" 22.1680549442999 0.400486196119015 9.44543003144249e-06 42399.9960600897
"Methyl parathion" "Age.12.19" 7.26491999642281 0.206471647415056 4.62374939237499e-06 44654.5930355887
"Propylparaben" "Age.12.19" 1.78066442693357 5.84051651883085 0.000118200526619781 49411.9331432271
"Dicrotophos" "Age.12.19" 3.89575653330638 0.1912337163862 3.16335977829268e-06 60452.7242517487
"Diazinon" "Age.12.19" 21.3718909040051 0.303669901233857 4.68771298649252e-06 64779.9688481081
"2-phenylphenol" "Age.12.19" 97.8352741387582 0.111411759163067 1.49886338491317e-06 74330.8298037593
"Azinphos-methyl" "Age.12.19" 0.435389654233283 4.01938811128099 4.57121706953736e-05 87928.1830229904
"Pentachlorophenol" "Age.12.19" 5.29466325046583 0.88164247265193 8.42315592546533e-06 104668.900879123
"Disulfoton" "Age.12.19" 15.6157026058796 0.593249002866634 4.16135100822655e-06 142561.634837783
"Dimethyl phthalate" "Age.12.19" 5.49436193444625 3.68377624945086 2.31674913239978e-05 159006.264335365
"Atrazine" "Age.12.19" 21.5330541719487 0.0831744528991689 4.70138947996621e-07 176914.619079308
"Acephate" "Age.12.19" 5.46952230081604 0.4100906581303 1.876672338436e-06 218520.116554851
"Butylparaben" "Age.12.19" 2.08395427512362 1.71692826599459 3.00001485725715e-06 572306.587696149
"Pyrene" "Age.12.19" 5.58192685643727 1.5277878444726 2.07313901806791e-06 736944.233434206
"Carbaryl" "Age.12.19" 0.241864186183433 29.0658989697149 3.7207182222822e-05 781190.545299789
"Ethylparaben" "Age.12.19" 1.09507496173044 12.7845129230944 1.59623634812679e-05 800916.038411058
"Carbosulfan" "Age.12.19" 2.58428725957921 2.54538266812919 1.91685067888898e-06 1327898.25319336
"Diethyltoluamide" "Age.12.19" 2.31627293194608 1.60624939690251 7.89149621121789e-07 2035418.06763995
"p-tert-Octylphenol" "Age.12.19" 1.14892513523242 4.06902056247058 1.61296232643666e-06 2522700.31096127
"Nitrobenzene" "Age.12.19" 2.13393210112148 8.25705747185672 2.19844834161693e-06 3755856.94489585
"Metolachlor" "Age.12.19" 0.493185347773426 10.7059141635848 6.60206573762156e-07 16216006.6092308
"Alachlor" "Age.12.19" 0.322317177825216 8.50094313460955 3.18255542298111e-07 26711060.7822399
"Acetochlor" "Age.12.19" 0.119586038532421 16.5905654568707 2.94880956781241e-07 56261908.6629542
"2,4-d" "Age.20.65" 140.376958035886 1.52909710399286e-06 1.7962721423362e-05 0.0851261380697105
"Naphthalene" "Age.20.65" 77.9233860525691 5.13324715805021e-05 0.000114637076443226 0.447782455494881
"Triclosan" "Age.20.65" 3292.73160842963 0.0018422394295577 0.000274336323736661 6.71525886351852
"Methylparaben" "Age.20.65" 2.21227653898342 0.0869149930452891 0.00123555965826505 70.3446348898551
"Fenitrothion" "Age.20.65" 291.193675507439 0.00690949072466583 5.3158486917631e-05 129.979070611473
"Malathion" "Age.20.65" 35.9161513204253 0.0109839163021805 6.02026934577596e-05 182.448918334313
"Permethrin" "Age.20.65" 2275.55506880484 0.00201621136877593 8.26318232096015e-06 243.999380681903
"Dimethoate" "Age.20.65" 1.80337170015157 0.0091495280748906 3.03185530763942e-05 301.779839289704
"Di-n-octyl phthalate" "Age.20.65" 125.986687142545 0.0390914318941311 8.67322211928807e-05 450.714064006237
"Chlorethoxyfos" "Age.20.65" 2645.63103076439 0.00427119272060214 4.1111761736352e-06 1038.92232787131
"Pirimiphos-methyl" "Age.20.65" 41.2088402991813 0.0623652590400866 5.77947304250225e-05 1079.08209937917
"Diethylphthalate" "Age.20.65" 1.09358026314075 1.78267664999829 0.00152437675078005 1169.44623373852
"Parathion" "Age.20.65" 340.850266895486 0.00623440908336324 4.73070498660924e-06 1317.8604670996
"Diphenylenemethane" "Age.20.65" 39.4837506598172 0.0200842115236798 1.35383672768951e-05 1483.50322552971
"Chlorpyrifos-methyl" "Age.20.65" 104.639683608571 0.0939796419567394 6.10806179204118e-05 1538.61642459471
"Fenthion" "Age.20.65" 21.1671499875159 0.121414550448017 5.38642686876897e-05 2254.08333587504
"Phorate" "Age.20.65" 1006.19834980725 0.00851919504901006 3.39565830795209e-06 2508.84932357872
"Coumaphos" "Age.20.65" 47.3463785899453 0.0130527406404688 4.64806213358363e-06 2808.21130727984
"Dibutylphthalate" "Age.20.65" 2.39566390075372 0.905803188551317 0.000272851642647209 3319.76446893706
"Methidathion" "Age.20.65" 3.65415628507843 0.175088296746527 5.07946159295677e-05 3446.98534563794
"Bisphenol-a" "Age.20.65" 3.72428676745435 0.209436074261583 3.27167189808738e-05 6401.49992986825
"Ethion" "Age.20.65" 31.5597850442974 0.0325477502003965 4.6433865749518e-06 7009.48535622071
"Lindane" "Age.20.65" 103.988380531631 0.0601605676328141 7.59107111992413e-06 7925.17507508418
"Phosphonothioic acid" "Age.20.65" 45.6193958597658 0.0420435203897908 4.26257336301458e-06 9863.41273433397
"Chlorpyrifos" "Age.20.65" 181.699512697469 0.0507871477639277 4.65236011232708e-06 10916.4266173979
"Phosmet" "Age.20.65" 4.4826280586516 0.80666964840436 4.85125003358797e-05 16628.0781823102
"Propylparaben" "Age.20.65" 3.60313611114986 2.88637444692065 0.000159258575856089 18123.8242989744
"Methyl parathion" "Age.20.65" 15.817472521455 0.0948318385232142 3.29977264045835e-06 28738.9007837951
"Quintozene" "Age.20.65" 40.2451762547798 0.220597866034829 7.55272223406223e-06 29207.7292396573
"Carbofuran" "Age.20.65" 13.0638829612723 0.0239749545313974 6.28121565487507e-07 38169.2905461535
