Results of Simulation 1

Time	Oral_input_uM	C_rest	C_elim	A_total
0	5.43931	0	0	0
0.25	4.23614	1.71246	0.0393128	0.216775
0.5	3.29911	2.93977	0.142207	0.3856
0.75	2.56935	3.79587	0.290129	0.517081
1	2.00101	4.36905	0.468909	0.619478
1.25	1.55839	4.7277	0.667774	0.699225
1.5	1.21367	4.92473	0.878577	0.761332
1.75	0.94521	5.001	1.09521	0.809702
2	0.73613	4.98801	1.31311	0.847371
2.25	0.573299	4.91001	1.52896	0.876709
2.5	0.446486	4.78558	1.74034	0.899557
2.75	0.347723	4.62896	1.94555	0.917351
3	0.270807	4.45097	2.14343	0.931209
3.25	0.210905	4.25982	2.33325	0.942001
3.5	0.164253	4.06168	2.51457	0.950407
3.75	0.12792	3.86115	2.68718	0.956953
4	0.0996244	3.66164	2.85107	0.962051
4.25	0.0775876	3.46562	3.00634	0.966021
4.5	0.0604252	3.27482	3.15317	0.969113
4.75	0.0470592	3.09048	3.29183	0.971521
5	0.0366498	2.91337	3.42261	0.973397
5.25	0.0285429	2.74399	3.54584	0.974857
5.5	0.0222292	2.58257	3.66186	0.975995
5.75	0.0173121	2.42919	3.77102	0.976881
6	0.0134827	2.28378	3.87367	0.977571
6.25	0.0105003	2.1462	3.97016	0.978108
6.5	0.00817767	2.01622	4.06082	0.978527
6.75	0.00636877	1.89359	4.14598	0.978853
7	0.00496001	1.778	4.22594	0.979106
7.25	0.00386286	1.66915	4.30102	0.979304
7.5	0.0030084	1.56671	4.3715	0.979458
7.75	0.00234294	1.47036	4.43765	0.979578
8	0.00182468	1.37979	4.49972	0.979671
8.25	0.00142107	1.29467	4.55797	0.979744
8.5	0.00110673	1.21472	4.61263	0.979801
8.75	0.00086192	1.13963	4.6639	0.979845
9	0.000671264	1.06913	4.71201	0.979879
9.25	0.000522781	1.00295	4.75714	0.979906
9.5	0.000407142	0.940829	4.79947	0.979927
9.75	0.000317083	0.882531	4.83918	0.979943
10	0.000246944	0.827824	4.87644	0.979956
10.25	0.00019232	0.776493	4.91138	0.979965
10.5	0.000149779	0.728333	4.94415	0.979973
10.75	0.000116648	0.68315	4.97489	0.979979
11	9.08457e-05	0.640762	5.00373	0.979984
11.25	7.07507e-05	0.600999	5.03077	0.979987
11.5	5.51007e-05	0.563698	5.05614	0.97999
11.75	4.29125e-05	0.528709	5.07993	0.979992
12	3.34203e-05	0.495889	5.10225	0.979994
12.25	2.60277e-05	0.465104	5.12318	0.979995
12.5	2.02704e-05	0.436229	5.14281	0.979996
12.75	1.57866e-05	0.409145	5.16122	0.979997
13	1.22946e-05	0.383742	5.17849	0.979998
13.25	9.57506e-06	0.359915	5.19468	0.979998
13.5	7.45707e-06	0.337567	5.20988	0.979999
