Iter	V_dist	k_e	C_rest_1.1	C_rest_1.2	C_rest_1.3	C_rest_1.4	C_rest_1.5	C_rest_1.6	C_rest_1.7	C_rest_1.8	C_rest_1.9	C_rest_1.10	C_rest_1.11	C_rest_1.12	C_rest_1.13	C_rest_1.14
0	0.322352	0.809595	13.5264	21.5823	25.832	27.4882	26.2778	22.3458	13.6647	7.44985	1.88489	0.42853	0.0191948	0.000820249	6.40686e-05	4.63312e-05
1	0.434403	0.337007	10.6594	18.0994	23.1023	26.2708	28.8555	28.4194	23.844	18.3302	9.86238	5.0968	1.33004	0.345576	0.0897743	0.0232907
2	0.252235	0.361252	18.3007	30.9718	39.3968	44.639	48.6567	47.5272	39.159	29.5085	15.1976	7.49683	1.7769	0.419178	0.0988234	0.0233205
3	0.617298	0.862089	7.01694	11.1213	13.2212	13.9724	13.171	11.0405	6.55281	3.46277	0.819614	0.173435	0.00664641	0.000217988	8.315e-06	-4.80881e-07
4	0.554901	0.604518	8.06428	13.2134	16.2514	17.7812	18.0041	16.2562	11.2877	7.05213	2.40273	0.757443	0.0697895	0.00622176	0.000575674	7.12829e-05
5	0.808161	0.506527	5.60663	9.30618	11.5999	12.8686	13.413	12.4884	9.26682	6.22457	2.48889	0.934746	0.125347	0.0165781	0.00215634	0.000287998
6	0.693852	0.710332	6.36338	10.2838	12.4702	13.447	13.2103	11.5558	7.49926	4.35519	1.2636	0.333851	0.0209577	0.00128395	4.15305e-05	1.22151e-06
7	0.775612	0.179371	6.0926	10.5703	13.8021	16.0748	18.5846	19.3489	18.3471	16.1348	11.6252	8.16881	3.99154	1.94791	0.950474	0.463801
8	0.244581	0.44169	18.6798	31.2748	39.3351	44.0467	46.8234	44.5236	34.5882	24.4317	10.9156	4.62317	0.798255	0.136429	0.023204	0.00393629
9	0.855301	0.570412	5.25466	8.64864	10.6863	11.7482	12.0148	10.9632	7.78754	4.98696	1.79437	0.600538	0.0630263	0.00649248	0.00065878	7.01912e-05
10	0.510322	0.717273	8.64428	13.9574	16.9092	18.2167	17.8615	15.593	10.0756	5.82455	1.67317	0.437215	0.0266841	0.0015259	9.82086e-05	1.03125e-05
11	0.742515	0.460947	6.13793	10.25	12.8573	14.3571	15.1727	14.3367	10.9849	7.6431	3.30288	1.34956	0.216032	0.0341821	0.00538968	0.00084152
12	0.434897	0.145607	10.9133	19.0224	24.9618	29.2246	34.17	36.0153	35.0905	31.7905	24.4183	18.3386	10.2537	5.72724	3.19883	1.78664
13	0.417787	0.195013	11.2879	19.5417	25.4585	29.5791	34.0203	35.2202	32.9833	28.6121	20.0163	13.6396	6.26228	2.87127	1.31611	0.603292
14	0.433211	0.646885	10.2741	16.7411	20.4728	22.2688	22.2737	19.8542	13.411	8.13194	2.59362	0.760404	0.0598443	0.00449766	0.000399564	1.34293e-05
15	0.378836	0.829421	11.4809	18.2723	21.814	23.1521	22.0149	18.6189	11.2566	6.06399	1.49546	0.330655	0.0139662	0.000513991	1.37503e-05	7.52524e-07
16	0.521353	0.404292	8.8053	14.816	18.7321	21.0905	22.6813	21.8362	17.4291	12.6833	6.05042	2.74952	0.550026	0.109283	0.021689	0.00431717
17	0.422138	0.468933	10.7852	17.9915	22.5429	25.1438	26.5074	24.982	19.0332	13.1604	5.6096	2.25791	0.350295	0.0538985	0.00825553	0.00124231
18	0.0906977	0.317812	51.1799	87.1295	111.517	127.175	140.543	139.336	118.609	92.6479	51.6172	27.6824	7.79415	2.18625	0.612843	0.172083
19	0.724065	0.594414	6.18815	10.1529	12.5042	13.7006	13.913	12.6014	8.80886	5.54355	1.9192	0.615767	0.0590566	0.0054535	0.000538014	6.25485e-05
20	0.111774	0.681919	39.6437	64.3034	78.2688	84.728	83.9056	74.0131	48.891	28.9398	8.75505	2.42122	0.16758	0.0112378	0.000604459	3.5315e-05
21	0.728381	0.601745	6.14575	10.0736	12.3944	13.5663	13.7474	12.4232	8.64226	5.40994	1.85142	0.586454	0.0546651	0.00496423	0.000452396	3.9707e-05
22	0.370754	0.745262	11.8563	19.0746	23.0235	24.7101	24.0395	20.8177	13.2247	7.50656	2.07211	0.518354	0.0288091	0.00149408	6.74919e-05	1.49372e-05
23	0.125159	0.351981	36.9255	62.5714	79.6968	90.4255	98.8525	96.8626	80.3619	61.0202	31.9557	16.0466	3.94542	0.965383	0.236467	0.0578877
24	0.553267	0.481698	8.21563	13.6818	17.1124	19.0517	20.0073	18.7777	14.178	9.7068	4.04807	1.5913	0.235023	0.0341775	0.00499471	0.000709126
25	0.122664	0.338601	37.7416	64.0708	81.762	92.9536	102.048	100.45	84.1778	64.6274	34.6743	17.8652	4.63207	1.19568	0.308998	0.0796886
26	0.290406	0.901775	14.8413	23.4042	27.6822	29.1051	27.1518	22.5198	13.0781	6.75673	1.52529	0.306986	0.010697	0.00034002	7.47693e-06	-2.89613e-06
27	0.318831	0.447139	14.3197	23.9573	30.1088	33.6887	35.7532	33.9361	26.2602	18.4693	8.17328	3.42629	0.578952	0.0968446	0.0161145	0.0027169
