iter	M_lnV_dist(1)	M_lnk_e(1)	V_lnV_dist(1)	V_lnk_e(1)	Ve_lnC_rest(1)	lnV_dist(1.1)	lnk_e(1.1)	lnV_dist(1.1.1)	lnk_e(1.1.1)	lnV_dist(1.2)	lnk_e(1.2)	lnV_dist(1.2.1)	lnk_e(1.2.1)	LnPrior	LnData	LnPosterior
0	-1.03157	-0.102006	0.168893	0.111256	0.164816	-0.522547	-0.32407	-0.470179	-0.302062	-1.21337	-0.796516	-1.15533	-0.405715	1.299277e+00	-7.503334e+01	-7.373407e+01
20	-0.215298	-0.739807	0.102038	0.0741482	0.492115	-0.161133	-0.979162	-0.344497	-0.750057	-0.661294	-0.672161	-0.327525	-0.94915	3.046560e+00	-3.630089e+01	-3.325433e+01
40	-0.098318	-1.57051	0.0772851	0.155267	0.496384	-0.418776	-1.12361	-0.53314	-0.296059	-0.29855	-2.13804	-0.540448	-1.85084	-4.672374e-01	-3.617216e+01	-3.663940e+01
60	-1.08557	-0.86142	0.0587011	0.126331	0.454288	-0.76183	-0.233152	-0.716182	-0.312621	-1.04342	-0.744192	-1.27209	-0.246912	9.203407e-01	-3.758381e+01	-3.666347e+01
80	-0.710302	-0.753496	0.251616	0.0677332	0.492085	-1.60369	-0.643891	-2.01975	-0.886251	-1.22191	-0.702166	-1.4827	-0.794879	-8.937914e-01	-3.630182e+01	-3.719561e+01
100	-0.288436	-0.454305	0.276215	0.087059	0.417733	-1.11115	-1.47303	-2.08866	-1.2105	-0.519295	-0.0831092	-0.266659	-0.00857859	-7.162843e+00	-3.911599e+01	-4.627883e+01
120	-0.849077	-0.883325	0.426976	0.0283558	0.499952	-1.76084	-0.838636	-2.26424	-0.684875	-0.349339	-0.976798	-1.80145	-1.00644	-6.029117e+00	-3.606682e+01	-4.209593e+01
140	-1.77748	-1.05749	0.710084	0.200089	0.480926	-1.42565	-1.34493	-1.73414	-1.72886	-2.05871	-1.8263	-1.71889	-2.19347	-6.847909e+00	-3.665285e+01	-4.350076e+01
160	-1.95193	-1.18913	0.281187	0.481137	0.45762	-2.09442	-1.41119	-2.6462	-1.31838	-1.97613	-2.55037	-1.39675	-2.79891	-7.052893e+00	-3.745961e+01	-4.451250e+01
180	-2.36687	-1.83502	0.085256	0.198353	0.380527	-2.20097	-0.97193	-1.67402	-0.633918	-2.64117	-1.40445	-2.05075	-0.99374	-8.578675e-01	-4.106421e+01	-4.192208e+01
200	-1.31788	-2.67637	0.0866663	0.191845	0.454362	-1.36626	-1.98223	-2.02274	-2.33702	-1.13234	-2.52389	-1.25445	-2.14758	-1.173153e+00	-3.758101e+01	-3.875416e+01
220	-0.838963	-1.33436	0.108633	0.0918556	0.492514	-0.947591	-0.948675	-1.03911	-1.29966	-1.43531	-0.225943	-0.89894	-0.545593	-7.062352e+00	-3.628874e+01	-4.335109e+01
240	-1.04914	-0.430502	0.177139	0.1546	0.489612	-1.0825	-0.657592	-0.892419	-1.30082	-0.794353	-0.634662	-0.35356	-1.13088	-1.138452e+00	-3.637778e+01	-3.751623e+01
260	-0.540091	-0.767897	0.700443	0.0827596	0.488289	-1.45023	-1.08665	-1.2228	-1.48183	-0.636964	-0.675881	-0.209165	-1.14318	-5.331081e+00	-3.641884e+01	-4.174992e+01
280	-0.201747	-0.0640124	0.171343	0.0827596	0.496663	-0.206748	-0.23144	-0.454331	-0.507997	-0.348647	-0.197657	-0.526413	-0.461486	5.086949e+00	-3.616385e+01	-3.107690e+01
300	-0.101524	-1.03605	0.260209	0.0889693	0.465631	-0.0509054	-1.33144	-0.0899921	-1.58887	-0.0425444	-1.2096	-0.52967	-0.759149	1.606923e+00	-3.717036e+01	-3.556343e+01
320	-0.94592	-0.790323	0.226366	0.138316	0.493074	-1.87124	-1.12351	-2.47002	-1.44606	-1.00564	-1.18699	-0.367886	-1.69905	-4.671479e+00	-3.627171e+01	-4.094319e+01
340	-1.02295	-0.918726	0.285207	0.43595	0.478472	-0.716555	-0.965129	-0.762264	-0.563017	-1.11315	-0.960666	-0.88763	-0.362922	-4.619352e+00	-3.673295e+01	-4.135230e+01
360	-0.365529	-0.685007	0.0842102	0.0802947	0.481584	-0.672328	-0.609264	-0.877318	-0.730475	-0.40635	-0.341558	-0.646827	-0.686327	2.992449e+00	-3.663156e+01	-3.363911e+01
380	-0.644812	-0.782949	0.0702744	0.0802947	0.475006	-0.645114	-0.727541	-1.04662	-0.796711	-0.350956	-1.10628	-0.183252	-0.811625	2.404417e+00	-3.684798e+01	-3.444356e+01
400	-1.18316	-0.118594	0.0785788	0.137358	0.490738	-1.08403	-0.137865	-1.45285	-0.0620905	-1.16135	-0.416247	-1.04224	-0.334098	4.315648e+00	-3.634309e+01	-3.202744e+01
420	-1.97095	-0.849171	0.130601	0.10848	0.479244	-2.58052	-0.806736	-1.80945	-1.10856	-1.71837	-0.971281	-1.84185	-1.15382	-5.702085e-01	-3.670766e+01	-3.727786e+01
440	-2.08936	-1.58969	0.0891617	0.0776425	0.48581	-2.09646	-1.72494	-2.25036	-1.83737	-2.00982	-1.44987	-2.10953	-2.00997	3.008926e+00	-3.649660e+01	-3.348767e+01
460	-1.64191	-0.991071	0.409754	0.119828	0.495821	-2.30879	-1.18518	-2.30873	-1.22216	-1.54616	-1.19294	-1.04688	-1.52896	-2.168939e+00	-3.618898e+01	-3.835792e+01
480	-1.10296	-0.983187	0.480915	0.118158	0.478843	-1.49978	-0.706604	-2.17782	-0.982643	-0.604599	-1.2532	-1.33137	-0.693046	-4.938797e+00	-3.672076e+01	-4.165956e+01
500	-2.43321	-0.496919	0.291894	0.310531	0.488292	-1.77784	-0.826736	-1.65613	-1.06408	-1.5493	-0.849726	-1.36431	-0.401123	-4.590554e+00	-3.641876e+01	-4.100931e+01
520	-1.74165	-2.41606	0.112274	0.681106	0.489204	-1.93718	-2.01373	-2.13568	-2.34262	-1.40324	-1.60148	-1.20485	-1.1589	-4.210493e+00	-3.639040e+01	-4.060090e+01
540	-1.90939	-2.72099	0.181525	0.0825895	0.492185	-2.48828	-2.71128	-2.67882	-2.56686	-1.48232	-2.44642	-1.75748	-2.58838	1.905816e+00	-3.629876e+01	-3.439294e+01
560	-2.45453	-1.40773	0.0499763	0.237305	0.490069	-2.76032	-1.633	-2.24303	-2.23356	-2.37388	-1.62942	-1.7864	-2.35749	-4.285253e+00	-3.636366e+01	-4.064891e+01
580	-2.24812	-1.7221	0.0993693	0.757479	0.492273	-2.41899	-2.34961	-2.04675	-1.80083	-1.91491	-2.41355	-1.81779	-2.20833	-4.680630e+00	-3.629608e+01	-4.097671e+01
600	-1.57076	-2.47829	0.15122	0.101384	0.494751	-1.38501	-2.69894	-0.926007	-2.76252	-1.30663	-2.71982	-1.5759	-2.9725	1.685578e+00	-3.622107e+01	-3.453550e+01
620	-1.26689	-1.90571	0.0815452	0.0869024	0.490093	-1.208	-2.13306	-0.786186	-2.28034	-1.2988	-2.01166	-1.36046	-2.10361	3.400322e+00	-3.636293e+01	-3.296261e+01
640	-0.905917	-2.27748	0.262097	0.368898	0.480028	-0.739496	-2.7486	-0.566811	-2.70555	-2.71343	-1.18924	-2.07044	-0.945433	-9.170478e+00	-3.668204e+01	-4.585252e+01
660	-0.841425	-1.03238	0.140634	0.169998	0.422215	-1.35972	-1.87203	-1.42315	-1.34787	-0.652376	-1.30031	-0.848362	-0.837463	-2.630826e+00	-3.890989e+01	-4.154072e+01
680	-0.789762	-0.393617	0.103747	0.105855	0.431174	-1.05541	-0.565371	-1.7987	-0.988545	-1.29266	-0.341874	-0.955676	-0.722901	-1.571217e+00	-3.851413e+01	-4.008534e+01
700	-0.871541	-0.718491	0.124609	0.116001	0.430115	-0.724331	-0.635266	-1.17401	-0.852968	-0.706843	-0.59834	-0.829496	-0.373932	2.310112e+00	-3.855979e+01	-3.624968e+01
720	-1.83927	-1.8516	0.204376	0.0764256	0.468109	-1.88755	-1.84309	-0.92609	-1.22495	-1.54592	-1.51603	-2.00853	-1.7662	-3.711190e+00	-3.708353e+01	-4.079472e+01
740	-1.57909	-1.13332	0.34239	0.105315	0.482527	-1.01309	-1.27957	-1.34636	-0.865849	-0.945236	-1.15319	-0.743542	-1.59521	-2.837239e+00	-3.660117e+01	-3.943841e+01
760	-0.173389	-0.612191	0.109677	0.262473	0.498154	-0.335176	-0.802238	-0.489044	-0.11958	-0.41383	-0.971703	-0.662484	-0.792212	6.277257e-01	-3.611965e+01	-3.549192e+01
780	-0.28171	-0.695742	0.138331	0.313644	0.491057	-0.439862	-0.7536	-0.480086	-0.602509	-0.588689	-0.586736	-0.203451	-0.689625	2.153256e-02	-3.633328e+01	-3.631175e+01
800	-0.740002	-1.98293	0.253893	0.177273	0.495008	-0.77221	-1.97841	-0.497637	-2.25025	-0.450727	-2.48329	-0.753343	-2.4497	-1.066377e+00	-3.621334e+01	-3.727972e+01
820	-1.09665	-2.60445	0.393935	0.108954	0.49333	-1.95437	-2.23731	-1.52395	-2.24101	-0.987967	-2.56985	-2.01816	-2.70446	-3.112018e+00	-3.626397e+01	-3.937599e+01
840	-2.27566	-2.08623	0.67939	0.128761	0.43767	-1.52449	-2.10419	-2.39965	-1.99372	-2.31666	-2.2355	-2.07027	-2.7034	-3.837452e+00	-3.823992e+01	-4.207738e+01
860	-0.478428	-2.14209	0.265722	0.0273353	0.485018	-1.07406	-2.02906	-1.50599	-2.03913	-0.322053	-2.00247	-0.92948	-1.91895	-1.858929e+00	-3.652163e+01	-3.838056e+01
880	-0.917098	-2.78374	0.217829	0.593935	0.469582	-1.07234	-2.66609	-2.07986	-2.63292	-1.26586	-2.44205	-0.899591	-3.07503	-6.314484e+00	-3.703245e+01	-4.334694e+01
900	-1.05454	-1.6749	0.0934274	0.930097	0.468003	-1.30107	-1.53703	-1.3278	-0.988982	-0.837991	-1.51255	-0.431899	-2.74634	-6.226451e+00	-3.708721e+01	-4.331366e+01
920	-1.33744	-2.22045	0.127594	0.118051	0.491289	-0.91026	-2.19241	-1.43278	-2.5089	-0.997885	-2.07774	-1.3692	-1.60965	-6.929200e-01	-3.632615e+01	-3.701907e+01
940	-0.999682	-2.79008	0.102493	0.434103	0.480104	-1.14751	-2.51892	-0.480307	-2.20233	-1.38403	-0.79849	-1.48145	-1.35626	-7.444952e+00	-3.667958e+01	-4.412453e+01
