iter	M_lnV_dist(1)	M_lnk_e(1)	M_lnk_a(1)	V_lnV_dist(1)	V_lnk_e(1)	V_lnk_a(1)	Ve_lnC_rest(1)	lnV_dist(1.1)	lnk_e(1.1)	lnk_a(1.1)	lnV_dist(1.1.1)	lnk_e(1.1.1)	lnk_a(1.1.1)	lnV_dist(1.2)	lnk_e(1.2)	lnk_a(1.2)	lnV_dist(1.2.1)	lnk_e(1.2.1)	lnk_a(1.2.1)	LnPrior	LnData	LnPosterior
0	-2.08134	-0.608054	-1.5666	0.132006	0.129688	0.390726	0.0227544	-1.70003	-0.810836	-1.84635	-1.16262	-0.604558	-1.98329	-1.83186	-0.468182	-1.02402	-1.82252	-1.07647	-0.413965	-1.092247e+00	-5.215019e+02	-5.225942e+02
10	-1.76818	-0.454513	-1.48856	0.724958	0.0587694	0.184002	0.4177	-1.41961	-0.531643	-1.70839	-1.54303	-0.862154	-1.92649	-1.53314	-0.71336	-1.23851	-1.97642	-0.815272	-0.289233	-7.077605e+00	-3.911752e+01	-4.619512e+01
20	-1.69012	-0.466524	-1.49968	0.232419	0.0708566	0.258792	0.488875	-2.03945	-0.606564	-1.70839	-1.83735	-0.585211	-1.9362	-1.61892	-0.147867	-1.80602	-1.57126	-0.207314	-1.62453	-4.846454e-01	-3.640062e+01	-3.688526e+01
30	-1.06775	-0.407303	-1.77322	0.0721557	0.081446	0.298205	0.49479	-1.49583	-0.760404	-1.452	-1.57173	-0.567299	-0.850314	-0.795928	-0.536944	-1.65879	-0.846626	-0.687044	-1.27176	-1.933441e+00	-3.621990e+01	-3.815334e+01
40	-1.95434	-0.168666	-1.12439	0.217365	0.105749	0.0739986	0.44633	-1.64026	-0.462306	-1.19444	-2.05231	-0.721702	-1.20084	-1.78959	-0.345001	-1.28821	-1.51184	-0.045866	-1.20702	2.755497e+00	-3.789020e+01	-3.513470e+01
50	-2.00114	-0.409449	-1.47867	0.305496	0.0952997	0.256737	0.477057	-1.77633	-0.280628	-1.94795	-1.93953	-0.0398522	-2.28324	-2.01987	-0.31212	-1.05827	-2.08015	-0.317733	-0.619574	-1.270511e+00	-3.677966e+01	-3.805017e+01
60	-1.70722	-0.226767	-1.51492	0.151435	0.0713366	0.166653	0.453998	-1.63628	-0.0786201	-1.6015	-1.9875	-0.0863234	-2.50706	-1.99495	-0.425992	-0.973685	-1.14712	-0.343497	-0.610327	-2.569811e+00	-3.759472e+01	-4.016453e+01
70	-1.31426	-0.226767	-1.89115	0.283364	0.093503	0.367114	0.470949	-1.86294	-0.233076	-1.2617	-2.07591	-0.354405	-1.85713	-1.50585	-0.407539	-1.40635	-0.271604	-0.140912	-1.85968	-7.079348e+00	-3.698544e+01	-4.406479e+01
80	-1.35518	-1.15374	-2.78481	0.226853	0.260404	0.25668	0.494479	-1.19583	-0.322642	-2.36	-1.8623	-0.00681693	-1.57951	-1.3983	-0.91062	-3.03791	-0.713783	-1.84946	-3.4267	-1.067794e+01	-3.622924e+01	-4.690718e+01
90	-0.613829	-0.643863	-2.56754	0.355503	0.561021	0.748271	0.488592	-0.961381	-0.466546	-1.34835	-1.03833	-1.50102	-2.32688	-1.09263	-0.0161864	-2.9549	-1.74742	-0.22657	-4.07672	-1.691754e+01	-3.640942e+01	-5.332696e+01
100	-0.929356	-0.0451822	-2.20187	0.285695	0.146622	0.309433	0.483389	-0.659675	-0.742341	-2.0725	-0.716899	-1.18926	-2.61334	-2.07442	-0.470384	-2.15253	-1.38242	-0.173685	-2.1359	-8.253456e+00	-3.657353e+01	-4.482699e+01
